cn_0,虽然通常没什么威力，但有很低的机率来一次杀死对方。
cn_22,新手双手剑。新手使用的双手剑。
cn_23,"可传送至沙棘木城堡市政厅。"
cn_24,"使用\fW隐藏之谷\f>活动积分奖品「勇气之源」兑换获得。\n最高可使用次数：450次。\n使用后获得900秒勇气祝福状态：\n\f=持续时间内防御-2\f>。\n剩余使用次数≤300时可通过消耗「勇气之源」进行补充。"
cn_25,"使用\fW隐藏之谷\f>活动积分奖品「无畏之源」兑换获得。\n最高可使用次数：450次。\n使用后获得900秒无畏祝福状态：\n\f=持续时间内防御-2，受到玩家攻击时，物理/魔伤减免2\f>。\n剩余使用次数≤300时可通过消耗「无畏之源」进行补充。"
cn_26,布伦丹使用的杖，以愤怒召唤闪电，给予目标相当的损害。
cn_27,"\f=限时物品，有效期7天。\f>\n等级≥40的冒险者可凭券于\fW隐藏之谷\f>活动开启期间前往马洛斯的\fW米尔斯\f>处兑换\fW隐藏之谷的古老石盒·誓\f>。"
cn_28,死亡骑士屠龙时所使用的剑。具有死亡骑士的怨念。
cn_29,恶魔之剑。魔族使用的剑，使用时体力会持续减少，但行动会变得更快。
cn_30,"可把声音扩大100倍的神奇海螺，用于发布横幅信息。"
cn_31,"\f=限时物品，有效期:24小时。\f>\n装着狩猎山脉传送卷轴的木盒，可在马洛斯\fW猎魔人\f>处购买，使用即可获得30分钟时效的狩猎山脉传送卷轴。\n当身上已有狩猎山脉传送卷轴时，该盒子无法使用。"
cn_32,"使用即可传送到狩猎山脉，狩猎魔物！"
cn_33,使用青铜制造的爪，性能不佳。
cn_34,"\f=限时物品，有效期：24小时\f>。\n仅限\fW隐藏之谷\f>新服庆典活动开启期间用于在马洛斯的\fW米尔斯\f>处兑换\fW隐藏之谷的古老石盒·誓\f>。"
cn_35,使用钢铁制造的爪，非常坚固。
cn_36,"风神梵迪赠与世人的元素原石。"
cn_37,"水神伏特赠与世人的元素原石。"
cn_38,"土神堤拉赠与世人的元素原石。"
cn_39,"火神伏尔坎赠与世人的元素原石。"
cn_40,"由元素之力凝结生成的结晶体。"
cn_41,"装有武器制作素材的木箱，\n打开后可获得四阶武器净化药水×1、三阶武器净化药水×2和随机一种武器素材。\n(不包括瑕疵武器。素材用于制作52级才可装备的武器)"
cn_42,"装有瑕疵武器的石盒，打开后可随机获得一种瑕疵武器\n(用于制作52级才可装备的武器)"
cn_43,"已购买过[武器素材木箱]的凭证。"
cn_44,"已购买过[瑕疵武器石盒]的凭证。"
cn_45,"\f=限时物品，有效期7天。\f>\n等级≥40的冒险者可凭券于\fW隐藏之谷\f>活动开启期间前往马洛斯的\fW米尔斯\f>处兑换\fW隐藏之谷的赠礼石盒\f>。"
cn_46,"限时物品，有效期24小时。\n使用后可获得30分钟时效的\fW隐藏之谷通行证·礼\f>，可用于进入\fW隐藏之谷·Ⅰ、Ⅱ或Ⅲ\f>，身上已有\fW隐藏之谷通行证·礼\f>时不可使用此盒子。"
cn_47,"\fW隐藏之谷·Ⅰ、Ⅱ、Ⅲ\f>的通行证，有效时间内可多次使用进入山谷练功享受经验加成。\n\fW使用者等级不同将被传送至不同的隐藏之谷：\nLv40-49：隐藏之谷·Ⅰ。\nLv50-59：隐藏之谷·Ⅱ。\nLv60以上：隐藏之谷·Ⅲ。\f>"
cn_48,"使用即可传送至\fW马洛斯地监一层\f>。"
cn_49,新手长矛。新手使用的长矛。
cn_50,"使用即可传送至\fW马洛斯地监二层\f>。"
cn_51,"使用即可传送至\fW马洛斯地监三层\f>。"
cn_52,"使用即可传送至\fW马洛斯地监四层\f>。"
cn_53,"使用即可传送至\fW马洛斯地监五层\f>。"
cn_54,"使用即可传送至\fW马洛斯地监六层\f>。"
cn_55,由精灵族最高长老赋予提升敏捷力的精灵族之剑。
cn_56,由精灵族最高长老赋予提升敏捷力的精灵族之弓。
cn_57,"从枯萎的大树上收集的来的木材。"
cn_58,"混沌空间内独有的一种矿石。"
cn_59,"经蚂蚁加工过的树皮。"
cn_60,"使用即可传送至\fW马洛斯地监七层\f>。"
cn_61,"\f=限时物品。\f>\n可用于马洛斯的\fW火神伏尔坎的仆从\f>处参与火神服\fW开服庆典嘉奖礼\f>活动。有概率获得\fW万能药（智力/力量/敏捷/毅力）\f>等珍稀奖励。"
cn_62,"最高只可强化至+6，继续强化不会提升强化等级。\n初心者训练之用。"
cn_63,"最高只可强化至+4，继续强化不会提升强化等级。\n初心者训练之用。"
cn_64,能快速恢复魔力的法杖。
cn_65,新手法杖。新手使用的法杖。
cn_66,拥有贝雷特魔力的魔杖，增加魔法攻击力，加快魔力恢复的速度。
cn_67,拥有巴风特魔力的魔杖，以黑暗气息将大地撕裂开来，能给予目标相当的损害。
cn_68,提高魔法攻击力。
cn_69,攻击对方时，渐渐夺取对方魔力的魔杖。
cn_70,提高攻击魔法的打击
cn_71,魔法额外点数降低，但攻击力会提升的武器。
cn_72,新手斧头。新手使用的斧头。
cn_73,新手石头。新手使用的石弓。
cn_74,新手之头。新手使用的之弓。
cn_75,使用古人曾用过的弓来使用武器魔法卷轴就无法施法。
cn_76,由精灵族最高长老赋予提高魔力的精灵族之剑。
cn_77,由精灵族最高长老赋予提升生命力的精灵族之剑。
cn_78,为了使用敏捷的魔法而特殊制造的头盔。戴着这头盔再使用魔法魔力的消耗是平常的一半。
cn_79,提高魔法抵抗力的头盔。魔法施的越多魔法抵抗力越高。
cn_80,使骑士可使用治疗魔法之特殊头盔。使用此头盔耗的魔力省一半。
cn_81,使骑士可使用迅速魔法之特殊头盔。使用此头盔耗的魔力省一半。
cn_82,使骑士可使用力量魔法之特殊头盔。使用此头盔耗的魔力省一半。
cn_83,拥有斯伟丹魔力的帽子，提高智力。
cn_84,只有王子和公主能戴。会提高精神和毅力。道具的拥有者若死亡就会掉在地上。
cn_85,拥有索罗纳魔力的帽子，增加魔力的恢复速度。
cn_86,新手皮头盔。新手使用的头盔。
cn_87,拥有诗蔻蒂魔力的帽子，增加魔力的最大值，并增加魔力的恢复速度。
cn_88,古代精灵族的头盔。增加敏捷。
cn_89,装备的话在黑暗的地方也可以看到事物。
cn_90,拥有恩多魔力的帽子，增加魔力的最大值。
cn_91,布伦丹使用的头盔，受到某人的诅咒。
cn_92,拥有蚁后的神秘力量，提升魔法防御和体力的最大值。
cn_93,拥有蚁后的神秘力量，提升魔法防御和魔力的最大值。
cn_94,拥有地属性的斗篷，对于地属性的攻击有较高的抵抗力。
cn_95,相当快速恢复魔力的斗篷。
cn_96,针对魔法提高抵抗力的斗篷。施魔法时抵抗力更有效。
cn_97,拥有水属性的斗篷，对于水属性的攻击有较高的抵抗力。
cn_98,拥有风属性的斗篷，对于风属性的攻击有较高的抵抗力。
cn_99,拥有火属性的斗篷，对于火属性的攻击有较高的抵抗力。
cn_100,精灵制作的斗篷，精灵穿着时体力恢复的速度变快。
cn_101,银制造的斗篷，对于魔法有较高的抵抗力。
cn_102,穿了后怪物和其他玩家看不到。不主动攻击或行为才会有效果。
cn_103,新手T恤。新手使用的T恤。
cn_104,可穿在盔甲里面。
cn_105,提高魔法抵抗力的链甲。魔法施得越多魔法抵抗力越高。
cn_106,为不明人士制作的魔法盔甲，对毒与光线魔法有强大的抵抗能力。
cn_107,新手皮甲。新手使用的皮甲。
cn_108,布伦丹使用的护甲，受到某人的诅咒。
cn_109,拥有黑长者魔力的长袍，增加魔力的恢复速度。
cn_110,拥有强烈气息的手套。
cn_111,蕴藏着水精灵气息的手套。提高水属性抵抗力。
cn_112,新手皮手套。新手使用的皮手套。
cn_113,蕴藏着大地精灵气息的手套。提高地属性抵抗力。
cn_114,蕴藏着火精灵气息的手套。提高火属性抵抗力。
cn_115,布伦丹使用的手套，受到某人的诅咒。
cn_116,含食人魔的血的手套，会增加力量。
cn_117,蕴藏着风精灵气息的手套。提高风属性防御。
cn_118,为不明人士制作的魔法长靴，对对防具强化的卷轴有稍微的抵抗能力。
cn_119,新手皮凉鞋。新手使用的皮凉鞋。
cn_120,布伦丹使用的长靴，受到某人的诅咒。
cn_121,拥有黑长者魔力的凉鞋，增加魔力的恢复速度。
cn_122,可感受到炎魔魔力气息的水晶球，增加魔力的最大值。
cn_123,像针对光箭魔法拥有相当高的防御力。
cn_124,具有红眼的盾牌，对于光线型魔法具有相当的防御力。
cn_125,可防御全身的盾牌，针对飞过来的武器具有强大的防御力。但需要用双手，而无法携带武器。
cn_126,新手皮盾牌。新手使用的皮盾牌。
cn_127,精灵制作的盾牌。对魔法的抵抗力提高。
cn_128,提高魔法抵抗力之盾牌。
cn_129,提升毅力的项链。
cn_130,提升敏捷的项链。
cn_131,提升少许体力的项链。
cn_132,提升力量的项链。
cn_133,提升智力的项链。
cn_134,提升精神的项链。
cn_135,提升体质的项链。
cn_136,刻有骷髅图案符号的项链，不知为什么觉得毛骨悚然，很难被强化。
cn_137,若跟变身魔杖一起使用，可以变为自己想要的怪物。
cn_138,新手指环。新手使用的戒指。
cn_139,戴着这支戒指可随意召唤想要的怪物。
cn_140,跟瞬间移动的卷轴一起使用的话，可以传送岛之前标记书签的场所。
cn_141,装备此腰带后体力会增加。
cn_142,装备此腰带后体力与魔力会增加。
cn_143,装备此腰带后魔力会增加。
cn_144,拥有强烈力量与气息的腰饰品。
cn_145,装备保护卷轴，可在强化装备时，防止因强化失败造成装备消失的卷轴。
cn_146,写着赎罪文句的圣书。
cn_147,树枝，含有治疗所有毒的成分。
cn_148,召唤怪物的魔法笛子
cn_149,送礼拜祭两相宜。
cn_150,集中力提高，比平常使用魔法还更有效果，只有魔法时才会有效果。
cn_151,一定的时间动作变快。
cn_152,恢复一点体力。
cn_153,治疗所有毒。
cn_154,恢复较多的体力。
cn_155,在一定的时间动作比绿色药水还快，但只有骑士才会有效果。
cn_156,瓶内装着橙色魔法药水，使用后可恢复体力。
cn_157,精灵特殊的食物。是把精灵食物灌入森林的活力做的。吃下去后在一定的时间内，所有的动作变快。这个食物针对精灵才有效果。
cn_158,"\f3【内部测试物品】\n+1等级卷轴。阅读卷轴后会升 1 等级。"
cn_159,"\f3【内部测试物品】\n-1等级卷轴。阅读卷轴后会降 1 等级。"
cn_160,"\f3【内部测试物品】\n+10K正义值卷轴。阅读后增加 10000 点正义值。"
cn_161,"\f3【内部测试物品】\n-10K正义值卷轴。阅读后减少 10000 点正义值。"
cn_162,死亡药水。使用后马上原地死亡。
cn_163,枯黄的古藤魔杖，可创造部分怪物，怪物不受创造者控制。
cn_164,强大的雷木魔杖，可召唤雷霆闪电攻击目标。
cn_165,诡异的古木魔杖，可将目标变成怪物，若与变身戒指一起使用，可将目标变为指定怪物。
cn_166,神奇的水晶魔杖，可强制将目标移动一定距离。
cn_167,古代人使用的体力恢复剂，围绕着古代的气息。
cn_168,古代人使用的强力体力恢复剂，围绕着古代的气息。
cn_169,古代人使用的终极体力恢复剂，围绕着古代的气息。
cn_170,喝完之后暂时失明，但是也可以看到一些特别的东西。
cn_171,精神药水。喝下之后可恢复一些魔力。
cn_172,吃了能够增加饱度。肚子饿时体力无法恢复。
cn_173,魔眼的嫩肉，听说食用后会提高灵敏的能力，通常作为魔法材料。
cn_174,施魔法在盔甲上给予强化，使盔甲增加防御力。
cn_175,破坏现在穿着的盔甲。
cn_176,传送回家的卷轴。使用之后传送到最近的村庄。
cn_177,施魔法在武器上给予强化，使武器增加攻击力。
cn_178,复活人或者怪物。
cn_179,"写满诡异符文的卷轴，可作为变形素材，在一段时间内变为怪物。变身后会影响攻击与移动速度，还能避免部分怪物的主动攻击。"
cn_180,会传送到任意的场所，若跟传送控制戒指一起用，可以移动到自己想要去的地方。
cn_181,使用之后可解开道具上面的诅咒。
cn_182,使用之后可知其他道具的能力。
cn_183,打开魔王洞穴二楼门的钥匙。
cn_184,表示已经驯养的宠物的项链。若交换此项链，可以交换宠物。
cn_185,能够恢复武器损害的道具。
cn_186,史莱姆的胃液，具有能腐蚀物品的功能。
cn_187,精制的黑色秘银，可使用于制作道具的材料。
cn_188,黑色秘银的原石，在精制黑色秘银时使用。
cn_189,使用黑色秘银制作的合金，炼制过程非常麻烦的金属。
cn_190,一种精灵族制作的高贵金属。使用于损坏的武器上可减少损坏程度。
cn_191,食人魔的血。是食人魔的力量之源。
cn_192,精灵之翅膀。可以传送到最近的村庄。
cn_193,"\f3【内部测试物品】\n召唤怪物魔杖。使用一次召唤一只怪物。"
cn_194,"\f3【内部测试物品】\n重置魔法药水。使用一次能够重置所有已学的魔法。"
cn_195,神秘的宝石魔杖，装备后能够吸取对方的魔力。
cn_196,源自精灵族制作工艺的体质皮盔。
cn_197,源自精灵族制作工艺的敏捷皮盔。
cn_198,血红的头巾，纪念骑士英灵。
cn_199,伊丁天堂活动礼包，使用后可随机获得珍稀装备、珍贵道具。
cn_200,"轻盈的祝福礼包，内装创世神蒂安的信仰之力，使用后可获得誓约书。\n注意：\n使用之后获得1天时效的誓约书，即刻生效；\n获得的誓约书与现有誓约书不可重用，时限不可累加，仅保留时限长度最大的誓约书。"
cn_201,"轻盈的祝福礼包，内装创世神蒂安的信仰之力，使用后可获得誓约书。\n注意：\n使用之后获得3天时效的誓约书，即刻生效；\n获得的誓约书与现有誓约书不可重用，时限不可累加，仅保留时限长度最大的誓约书。"
cn_202,"轻盈的祝福礼包，内装创世神蒂安的信仰之力，使用后可获得誓约书。\n注意：\n使用之后获得30天时效的誓约书，即刻生效；\n获得的誓约书与现有誓约书不可重用，时限不可累加，仅保留时限长度最大的誓约书。"
cn_203,"轻盈的祝福礼包，内装创世神蒂安的信仰之力，使用后可获得誓约书。\n注意：\n该物品的使用时效即是誓约书的使用时效；\n该物品过期后，获得的誓约书同样过期。"
cn_204,采用地狱木制作的钥匙。贾克斯正在回收这把钥匙。
cn_205,经过邪恶生物血液侵染的黑色钥匙。
cn_206,"写满诡异符文的卷轴，可作为变形素材，在一段时间内变为\f=死亡骑士。"
cn_207,瓶内装着蓝色魔法药水，使用后可增加魔力恢复量。不能与魔能药剂同时使用。
cn_208,潘圈养的羊群，受天神眷顾，身上长有特殊的骨头。
cn_209,附有魔力但是却开始腐朽的木头，却被无知的平民用来制作稻草人。
cn_210,经过兽人族长者萨满施放巫术的骨头磨粉。
cn_211,古老兽人族的信仰之物
cn_212,古老兽人族的信仰之物，看上去已经损坏。
cn_213,巨大的南瓜，万圣节活动物品。
cn_214,香甜的南瓜饼，万圣节活动物品。
cn_215,"古老兽人族的信仰之物\n任务道具"
cn_216,"精灵族的心之结晶\n任务道具"
cn_217,"伟大水神赋予精灵族的祝福之水\n任务道具"
cn_218,"兽人首领与阿提拉联系的信物\n任务道具"
cn_219,"神秘的书籍，刻录着强大的迷雾魔法阵\n任务道具"
cn_220,"迷雾魔法阵的核心之物\n任务道具"
cn_221,"精灵族月光女神赋予的祝福\n任务道具"
cn_222,"充满精灵族祝福的飞行羽翼\n任务道具"
cn_223,"写满诡异符文的卷轴，可作为变形素材，在一段时间内变为高级怪物。"
cn_224,"红色的毛绒圣诞帽子\n活动道具"
cn_225,"红色的毛绒圣诞袜\n活动道具"
cn_226,一份珍贵的圣诞节礼物
cn_227,一份珍贵的圣诞节礼物，藏有幸运女神的祝福。
cn_228,记载宝物埋藏之处的标记地图，也可能是个陷阱。
cn_229,破碎的标记地图，似乎隐藏着巨大的秘密！
cn_230,一份记载巨量宝物的标记地图，据说是海贼首领的全部财富。也可能是个陷阱。
cn_231,庆典福气袋，满载祝福与愿望。
cn_232,为新世界大庆典所准备的糕点。
cn_233,"一份珍贵的庆典礼盒。"
cn_234,一份珍贵的庆典礼盒，藏有幸运女神的祝福。
cn_235,新年红爆竹，人们常常用它驱赶年兽。
cn_236,新年变形卷轴，使用后可变成特殊怪物造型。
cn_237,不可解除诅咒，使用后有机率使装备强化等级降低。
cn_238,"写满诡异符文的卷轴。\n可在马洛斯的西瑞尔[变形]处以2个兑换1个高级变形卷轴 (绑定)。"
cn_239,据说是梅林逃难至应许村时丢失的魔法器具，可用于兑换绑定的强化卷轴。
cn_240,伊丁天堂周年庆礼包，里面有赠予你的礼物以及幸运女神对你的祝福
cn_241,服务器开服周年喜庆礼包，里面包含了一些随机的小礼物，感谢你对伊丁天堂的支持
cn_242,"用于变形的魔法素材。在选择变形形态时，\fW按照一定数量的精粹和金币\f>，搭配各个等级的变形卷轴，即可进行\fW魔化变形\f>。"
cn_243,蒂安神感受到伊丁大陆冒险者的善意之心，信仰之力凝成友善戒指。
cn_244,奥莉维亚的赠礼，每个达到指定等级，即可开启，获得成长奖励物资。
cn_245,"伊丁之极遭受邪恶气息的攻击，奥莉维亚向伊丁大陆发出求救讯号，希望能解救伊丁之极。使用后，可获得10000金币。"
cn_246,向帕特神庙祈福后获得的守护之光，可以帮助你留在沦陷的伊丁之极，但随着时间的流逝，守护之光会渐渐消失。\n注意：需要找泽斯传送到沦陷的伊丁之极；
cn_247,寄予希望与和平的戒指，若使用者已信仰蒂安神（月费会员或短期誓约书用户），将获得蒂安神的祝福，提升角色15%的基础负重能力上限。
cn_248,"泽斯的强力武器，可用来抵御敌人的攻击。 \n任务道具"
cn_249,闪亮的初心者武器专属，只能强化\f3闪亮的初心者系列武器\f>。
cn_250,以死神玛丽亚之名，前往邪恶洞窟诛杀邪恶生物，在有效时间内，保护冒险者不受邪恶气息侵袭。
cn_251,美丽女神赐予伊丁人民的礼物。
cn_252,美丽女神赐予伊丁人民的礼物。
cn_253,水之力所凝聚的元素珠。\n交给精灵园林的\f3莉雅\f>，作为获得水之精灵祝福的媒介，可以学得水属性魔法。
cn_254,风之力所凝聚的元素珠。\n交给精灵园林的\f3莉雅\f>，作为获得风之精灵祝福的媒介，可以学得风属性魔法。
cn_255,土之力所凝聚的元素珠。\n交给精灵园林的\f3莉雅\f>，作为获得土之精灵祝福的媒介，可以学得土属性魔法。
cn_256,火之力所凝聚的元素珠。\n交给精灵园林的\f3莉雅\f>，作为获得火之精灵祝福的媒介，可以学得火属性魔法。
cn_257,豆沙馅月饼，食用后可补充体力。
cn_258,桂花馅月饼，食用后可补充魔力。
cn_259,莲蓉馅月饼，食用后可临时增加魔力上限。
cn_260,双黄馅月饼，食用后可临时增加体力上限。
cn_261,"轻盈的祝福礼包，内装创世神蒂安的信仰之力，使用后可获得誓约书。\n注意：\n使用之后获得60天时效的誓约书，即刻生效；\n获得的誓约书与现有誓约书不可重用，时限不可累加，仅保留时限长度最大的誓约书。"
cn_262,月满之时，月光女神凝聚纯净月辉，制成耳环。\n注意：只有月费会员或短期誓约书用户才能装备
cn_263,传说，星辰之光是伊娃在天界时落下的眼泪。
cn_264,太阳的光芒驱逐大地每一个角落的黑暗！
cn_265,信仰蒂安神，正义神殿的守护者！
cn_266,信仰蒂安神，正义神殿的勇者！
cn_267,信仰蒂安神，正义神殿的智者！
cn_268,了解伊丁大陆秘闻的物品
cn_269,续费会员获得的礼包
cn_270,续费会员，获得幸运符石，可跟礼物使者抽取会员福利。
cn_271,邀请新玩家获得的礼包
cn_272,邀请新玩家首次订阅会员获得的礼包
cn_273,亨特的战斗心得，使用后获得5000经验
cn_274,解除中毒效果，并且可解除食尸鬼的麻痹效果。
cn_275,亨特的战斗心得，使用后获得10000经验
cn_276,亨特的战斗心得，使用后获得100000经验
cn_277,背面刻有秘银纹饰。
cn_278,背面刻有腥红纹饰。
cn_279,"在对超过安定值，且强化等级小于12的武器使用后，该武器获得一个临时的保护状态，在保护状态下强化失败时，强化等级随机降低1~3，装备不会消失。 \n注意：此保护状态在下一次强化时（无论成功或失败）或者物品转移时消失。"
cn_280,哥尔委托制作的剑。\n任务道具
cn_281,蝎子尾部的毒液。\n任务道具
cn_282,专门医治腰痛的药物。\n任务道具
cn_283,蜥蜴人的皮，保暖效果非常好。\n任务道具
cn_284,进入沙棘木城堡的通行证。\n任务道具
cn_285,涂有毒药的箭。\n任务道具
cn_286,沙漠猎犬的牙。\n任务道具
cn_287,"蕴含生命之息的神圣泉水，可重置初始属性和49等后的附加属性。\n使用等级：50以上\n可找世界树下的\f3米娅[重置属性点]\f>了解重置属性相关资讯。"
cn_288,"保护饰品在强化时，若是超过安定值并且强化失败，饰品装备的强化等级归0，装备不会被销毁。"
cn_289,"极为珍贵的丝绸。\n活动道具"
cn_290,"使用后可以燃放各类炫丽多彩的烟花，并获得奖励。"
cn_291,"使用后可以燃放各类炫丽多彩的烟花，并获得奖励。\n任务道具"
cn_292,"使用后可以燃放各类炫丽多彩的烟花，并获得奖励。"
cn_293,"燃放烟花后获得美好的祝愿。\n任务道具"
cn_294,"拥有神奇的魔法，使用后，可在一定时间内获得打怪经验1.2倍。死亡时清空该状态"
cn_295,"拥有神奇的魔法，使用后，可在一定时间内获得打怪经验1.3倍。死亡时清空该状态"
cn_296,"拥有神奇的魔法，使用后，可在一定时间内获得打怪经验1.4倍。死亡时清空该状态"
cn_297,"神秘的物品，可到马洛斯或骑特拉城镇的\fC传教士[经验回购]\f>处购回死亡经验（回购时等级≥40）。"
cn_298,"强化任务专属，只能强化任务防具。"
cn_299,"破旧的布斗篷"
cn_300,"蒂安神的礼物，达到指定等级，可开启获得\n\fC角色成长礼盒\f>\n\fC自我加速药水*10\f>\n\fC强力治愈药水*10\f>\n\fC一等变形卷轴*10\f>\n\fC二等变形卷轴*5\f>\n\fC新手回村传送卷轴*10\f>"
cn_301,"蒂安神的礼物，达到指定等级，可开启获得\n\fC角色成长礼盒\f>\n\fC自我加速药水*15\f>\n\fC强力治愈药水*20\f>\n\fC二等变形卷轴*10\f>\n\fC三等变形卷轴*5\f>\n\fC藏宝图（应许之岛）*2\f>\n\fC新手回村传送卷轴*5\f>"
cn_302,"蒂安神的礼物，达到指定等级，可开启获得\n\fC角色成长礼盒\f>\n\fC强化 自我加速药水*10\f>\n\fC终极治愈药水*10\f>\n\fC三等变形卷轴*10\f>\n\fC随机传送卷轴*5\f>\n\fC藏宝图（应许之岛）*2\f>\n\fC新手回村传送卷轴*5\f>"
cn_303,"蒂安神的礼物，达到指定等级，可开启获得\n\fC角色成长礼盒\f>\n\fC强化 自我加速药水*10\f>\n\fC终极治愈药水*15\f>\n\fC三等变形卷轴（魔化）*10\f>\n\fC高级变形卷轴*2\f>\n\fC随机传送卷轴*10\f>\n\fC和平戒指*1\f>"
cn_304,"蒂安神的礼物，达到指定等级，可开启获得\n\fC强化 自我加速药水*10\f>\n\fC终极治愈药水*15\f>\n\fC三等变形卷轴（魔化）*10\f>\n\fC高级变形卷轴*10\f>\n\fC随机传送卷轴*15\f>\n\fC高级藏宝图*1\f>"
cn_305,"强化任务专属，只能强化任务防具--\f3闪亮的初心者披风\f>"
cn_306,"强化任务专属，只能强化任务防具--\f3闪亮的初心者头盔\f>"
cn_307,"使用「试炼之石」即可获得「试练者的证明」并立即传送至「试炼之地」；「试练者的证明」存在时间为一小时（现实时间）；「试练者的证明」在持有者离开「试炼之地」或离线状态下仍然会继续计时。"
cn_308,"血盟领地指定传送卷轴，只有排名前三的血盟成员可以使用。"
cn_309,"轻盈的祝福礼包，内装创世神蒂安的信仰之力，使用后可获得誓约书。\n注意：\n使用之后获得指定时效的誓约书，XXXX后过期失效。"
cn_310,"轻盈的祝福礼包，内装创世神蒂安的信仰之力，使用后可获得5本被封印的誓约书[15天]。"
cn_311,"轻盈的祝福礼包，内装创世神蒂安的信仰之力，使用后可获得10本被封印的誓约书[15天]。"
cn_312,"吟游诗人的长靴，活动专属装备"
cn_313,"吟游诗人的长靴，活动专属装备"
cn_314,"看上去像米饭，但是粘性却比一般米饭强的神奇的食物！据说是从伊丁大陆以外的地区流传进来的。"
cn_315,"端午活动印花，可以用于兑换粽子或者装备屈原纪念礼盒。印花会在2018-06-28 10:00AM失效并且消失。"
cn_316,"端午活动印花所兑换的礼盒。有机会随机开出七种限定装备中的其中一种。"
cn_317,"持有这张通行证的人，可以在马洛斯城内通过魔物巢穴传送师传送到魔物的巢穴。"
cn_318,"吟游诗人的长靴，活动专属装备"
cn_319,"采用神弃之岛的远古放逐者之泪制作的耳环，蕴含狂躁的力量；强化可提升抵抗石化能力"
cn_320,"采用神弃之岛的远古放逐者之泪制作的耳环，蕴含诡异的魔能；强化可提升抵抗石化能力"
cn_321,"采用神弃之岛的远古放逐者之泪制作的耳环，蕴含空灵的异能；强化可提升抵抗石化能力"
cn_322,"采用神弃之岛的远古放逐者之泪制作的耳环，蕴含狂躁的力量；强化可提升抵抗中毒能力"
cn_323,"采用神弃之岛的远古放逐者之泪制作的耳环，蕴含诡异的魔能；强化可提升抵抗中毒能力"
cn_324,"采用神弃之岛的远古放逐者之泪制作的耳环，蕴含空灵的异能；强化可提升抵抗中毒能力"
