tw_0,雖然通常沒什麼威力，但有很低的機率來一次殺死對方。
tw_200,"輕盈的祝福禮包，內裝創世神蒂安的信仰之力，使用後可獲得誓約書。\n注意：\n使用之後獲得1天時效的誓約書，即刻生效；\n獲得的誓約書與現有誓約書不可重用，時限不可累加，僅保留時限長度最大的誓約書。"
tw_201,"輕盈的祝福禮包，內裝創世神蒂安的信仰之力，使用後可獲得誓約書。\n注意：\n使用之後獲得3天時效的誓約書，即刻生效；\n獲得的誓約書與現有誓約書不可重用，時限不可累加，僅保留時限長度最大的誓約書。"
tw_202,"輕盈的祝福禮包，內裝創世神蒂安的信仰之力，使用後可獲得誓約書。\n注意：\n使用之後獲得30天時效的誓約書，即刻生效；\n獲得的誓約書與現有誓約書不可重用，時限不可累加，僅保留時限長度最大的誓約書。"
tw_203,"輕盈的祝福禮包，內裝創世神蒂安的信仰之力，使用後可獲得誓約書。\n注意：\n該物品的使用時效即是誓約書的使用時效；\n該物品過期後，獲得的誓約書同樣過期。"
tw_204,採用地獄木製作的鑰匙。賈克斯正在回收這把鑰匙。
tw_205,經過邪惡生物血液侵染的黑色鑰匙。
tw_206,"寫滿詭異符文的卷軸，可在變形界面的體驗變形中消耗卷軸並變形為\f=死亡騎士。"
tw_207,瓶內裝著藍色魔法藥水，使用後可增加魔力恢復量。
tw_208,潘圈養的羊群，受天神眷顧，身上長有特殊的骨頭。
tw_209,精靈園林裡的木靈失去了生命力，朽木來自於枯萎的木靈。
tw_210,經過獸人族長者薩滿施放巫術的骨頭磨粉。
tw_211,古老獸人族的信仰之物
tw_212,古老獸人族的信仰之物，看上去已經損壞。
tw_213,巨大的南瓜，萬聖節活動物品。
tw_214,香甜的南瓜餅，萬聖節活動物品。
tw_215,"古老獸人族的信仰之物\n任務道具"
tw_216,"精靈族的心之結晶\n任務道具"
tw_217,"偉大水神賦予精靈族的祝福之水\n任務道具"
tw_218,"獸人首領與阿提拉聯繫的信物\n任務道具"
tw_219,"神秘的書籍，刻錄著強大的迷霧魔法陣\n任務道具"
tw_220,"迷霧魔法陣的核心之物\n任務道具"
tw_221,"精靈族月光女神賦予的祝福\n任務道具"
tw_222,"充滿精靈族祝福的飛行羽翼\n任務道具"
tw_223,"寫滿詭異符文的卷軸，可在變形界面選擇想要的形象，消耗對應等級的卷軸並變形。"
tw_224,"紅色的毛絨聖誕帽子\n活動道具"
tw_225,"紅色的毛絨聖誕襪\n活動道具"
tw_226,一份珍貴的聖誕節禮物
tw_227,一份珍貴的聖誕節禮物，藏有幸運女神的祝福。
tw_228,記載寶物埋藏之處的標記地圖，也可能是個陷阱。
tw_229,破碎的標記地圖，似乎隱藏著巨大的秘密！
tw_230,一份記載巨量寶物的標記地圖，據說是海賊首領的全部財富。也可能是個陷阱。
tw_231,慶典福氣袋，滿載祝福與願望。
tw_232,為新世界大慶典所準備的糕點。
tw_233,"一份珍貴的慶典禮盒。"
tw_234,一份珍貴的慶典禮盒，藏有幸運女神的祝福。
tw_235,新年紅爆竹，人們常常用它驅趕年獸。
tw_236,新年變形卷軸，使用後可變成特殊怪物造型。
tw_237,不可解除詛咒，使用後有機率使裝備強化等級降低。
tw_238,"寫滿詭異符文的卷軸。\n可在馬洛斯的西瑞爾[變形]處以2個兌換1個高級變形卷軸 (綁定)。"
tw_239,據說是梅林逃難至應許村時丟失的魔法器具，可用於兌換綁定的強化卷軸。
tw_240,TEON週年慶禮包，裏面有贈予你的禮物以及幸運女神對你的祝福
tw_241,伺服器開服周年喜慶禮包，裏面包含了一些隨機的小禮物，感謝你對TEON的支持
tw_242,用於變形的魔法素材。在選擇變形形態時，\fW按照一定數量的精粹\f>，搭配各個等級的變形捲軸，即可進行\fW魔化變形\f>。
tw_243,蒂安神感受到伊丁大陸冒險者的善意之心，信仰之力凝成友善戒指。
tw_244,奧莉維亞的贈禮，每個達到指定等級，即可開啟，獲得成長獎勵物資。
tw_245,"伊丁之極遭受邪惡氣息的攻擊，奧莉維亞向伊丁大陸發出求救訊號，希望能解救伊丁之極。使用後，可獲得10000金幣。"
tw_246,向帕特神廟祈福後獲得的守護之光，可以幫助你留在淪陷的伊丁之極，但隨著時間的流逝，守護之光會漸漸消失。\n注意：需要找澤斯傳送到淪陷的伊丁之極；
tw_247,寄予希望與和平的戒指，若使用者已信仰蒂安神（月費會員或短期誓約書用戶），將獲得蒂安神的祝福，提升角色15%的基礎負重能力上限。
tw_248,"澤斯的強力武器，可用來抵禦敵人的攻擊。 \n任務道具"
tw_249,閃亮的初心者武器專屬，只能強化\f3閃亮的初心者系列武器\f>。
tw_250,以死神瑪麗亞之名，前往邪惡洞窟誅殺邪惡生物，在有效時間內，保護冒險者不受邪惡氣息侵襲。
tw_251,收藏品，美麗女神賜予伊丁人民的禮物，可以賣給道具店換取鉑金幣。
tw_252,收藏品，美麗女神賜予伊丁人民的禮物，可以賣給道具店換取鉑金幣。
tw_253,水之力所凝聚的元素珠。\n交給瓦爾妲居所的\f3月光女神瓦爾妲\f>，作為獲得水之精靈祝福的媒介，可以學得水系魔法。
tw_254,風之力所凝聚的元素珠。\n交給瓦爾妲居所的\f3月光女神瓦爾妲\f>，作為獲得風之精靈祝福的媒介，可以學得風系魔法。
tw_255,土之力所凝聚的元素珠。\n交給瓦爾妲居所的\f3月光女神瓦爾妲\f>，作為獲得土之精靈祝福的媒介，可以學得土系魔法。
tw_256,火之力所凝聚的元素珠。\n交給瓦爾妲居所的\f3月光女神瓦爾妲\f>，作為獲得火之精靈祝福的媒介，可以學得火系列魔法。
tw_257,豆沙餡月餅，食用後可補充體力。
tw_258,桂花餡月餅，食用後可補充魔力。
tw_259,蓮蓉餡月餅，食用後可臨時增加魔力上限。
tw_260,雙黃餡月餅，食用後可臨時增加體力上限。
tw_261,"輕盈的祝福禮包，內裝創世神蒂安的信仰之力，使用後可獲得誓約書。\n注意：\n使用之後獲得60天時效的誓約書，即刻生效；\n獲得的誓約書與現有誓約書不可重用，時限不可累加，僅保留時限長度最大的誓約書。"
tw_262,月滿之時，月光女神凝聚純淨月輝，製成耳環。\n注意：只有月費會員或短期誓約書用戶才能裝備
tw_263,傳說，星辰之光是伊娃在天界時落下的眼淚。
tw_264,太陽的光芒驅逐大地每一個角落的黑暗！
tw_265,信仰蒂安神，正義神殿的守護者！
tw_266,信仰蒂安神，正義神殿的勇者！
tw_267,信仰蒂安神，正義神殿的智者！
tw_268,瞭解伊丁大陸秘聞的物品
tw_269,續費會員獲得的禮包
tw_270,續費會員，獲得幸運符石，可跟禮物使者抽取會員福利。
tw_271,邀請新玩家獲得的禮包
tw_272,邀請新玩家首次訂閱會員獲得的禮包
tw_273,亨特的戰鬥心得，使用後獲得5000經驗
tw_274,解除中毒效果，並且可解除食屍鬼的麻痹效果。
tw_275,亨特的戰鬥心得，使用後獲得10000經驗
tw_276,亨特的戰鬥心得，使用後獲得100000經驗
tw_277,背面刻有秘銀紋飾。
tw_278,背面刻有腥紅紋飾。
tw_279,"在對超過安定值，且強化等級小於13的武器使用後，該武器獲得一個臨時的保護狀態，在保護狀態下強化失敗時，強化等級隨機降低1~3，裝備不會消失。 \n注意：此保護狀態在下一次強化時（無論成功或失敗）或者物品轉移時消失。"
tw_280,哥爾委託製作的劍。\n任務道具
tw_281,蠍子尾部的毒液。\n任務道具
tw_282,專門醫治腰痛的藥物。\n任務道具
tw_283,蜥蜴人的皮，保暖效果非常好。\n任務道具
tw_284,進入沙棘木城堡的通行證。\n任務道具
tw_285,塗有毒藥的箭。\n任務道具
tw_286,沙漠獵犬的牙。\n任務道具
tw_287,"蘊含生命之息的神聖泉水，可重置初始屬性和49等後的附加屬性。\n使用等級：50以上\n可找世界樹下的\f3米婭[重置屬性點]\f>了解重置屬性相關資訊。"
tw_288,"保護飾品在強化時，若是超過安定值並且強化失敗，飾品裝備的強化等級歸0，裝備不會被銷毀。"
tw_289,"極為珍貴的絲綢。\n活動道具"
tw_290,"使用後可以燃放各類炫麗多彩的煙花，並獲得獎勵。"
tw_291,"使用後可以燃放各類炫麗多彩的煙花，並獲得獎勵。\n任務道具"
tw_292,"使用後可以燃放各類炫麗多彩的煙花，並獲得獎勵。"
tw_293,"燃放煙花後獲得美好的祝願。\n任務道具"
tw_294,"擁有神奇的魔法，使用後，可在一定時間內獲得打怪經驗1.2倍。死亡時清空該狀態"
tw_295,"擁有神奇的魔法，使用後，可在一定時間內獲得打怪經驗1.3倍。死亡時清空該狀態"
tw_296,"擁有神奇的魔法，使用後，可在一定時間內獲得打怪經驗1.4倍。死亡時清空該狀態"
tw_297,"神秘的物品，角色等級≥40等可直接使用購回死亡經驗。\n也可到馬洛斯或騎特拉城鎮的\fC傳教士[經驗回購]\f>處購回死亡經驗（回購時等級≥40）。"
tw_298,"強化任務專屬，只能強化任務防具。"
tw_299,"破舊的布斗篷"
tw_300,"蒂安神的禮物，達到指定等級，可開啟獲得\n\fC角色成長禮盒\f>\n\fC自我加速藥水*10\f>\n\fC強力治癒藥水*10\f>\n\fC一等變形卷軸*10\f>\n\fC二等變形卷軸*5\f>\n\fC新手回村傳送卷軸*10\f>"
tw_301,"蒂安神的禮物，達到指定等級，可開啟獲得\n\fC角色成長禮盒\f>\n\fC自我加速藥水*15\f>\n\fC強力治癒藥水*20\f>\n\fC二等變形卷軸（綁定）*10\f>\n\fC三等變形卷軸（綁定）*5\f>\n\fC藏寶圖（應許之島）*2\f>\n\fC新手回村傳送卷軸*5\f>\n\fC英雄項錬Lv.1*1\f>"
tw_302,"蒂安神的禮物，達到指定等級，可開啟獲得\n\fC角色成長禮盒\f>\n\fC強化 自我加速藥水*10\f>\n\fC終極治癒藥水*10\f>\n\fC三等變形卷軸*10\f>\n\fC受祝福的隨機傳送卷軸*5\f>\n\fC藏寶圖（應許之島）*2\f>\n\fC新手回村傳送卷軸*5\f>"
tw_303,"蒂安神的禮物，達到指定等級，可開啟獲得\n\fC角色成長禮盒\f>\n\fC強化 自我加速藥水*10\f>\n\fC終極治癒藥水*15\f>\n\fC三等變形卷軸（綁定）*10\f>\n\fC高級變形卷軸（綁定）*2\f>\n\fC受祝福的隨機傳送卷軸*10\f>\n\fC紀念指環*1\f>"
tw_304,"蒂安神的禮物，達到指定等級，可開啟獲得\n\fC強化 自我加速藥水*10\f>\n\fC終極治癒藥水*15\f>\n\fC三等變形卷軸（綁定）*10\f>\n\fC高級變形卷軸（綁定）*10\f>\n\fC受祝福的隨機傳送卷軸*15\f>\n\fC破舊的高級藏寶圖兌換券*1\f>"
tw_305,"強化任務專屬，只能強化任務防具--\f3閃亮的初心者披風\f>"
tw_306,"強化任務專屬，只能強化任務防具--\f3閃亮的初心者頭盔\f>"
tw_307,"使用「試煉之石」即可獲得「試練者的證明」並立即傳送至「試煉之地」；「試練者的證明」存在時間為一小時（現實時間）；「試練者的證明」在持有者離開「試煉之地」或離線狀態下仍然會繼續計時。"
tw_308,"血盟領地指定傳送卷軸，只有排名前三的血盟成員可以使用。"
tw_309,"輕盈的祝福禮包，內裝創世神蒂安的信仰之力，使用後可獲得誓約書。\n注意：\n使用之後獲得指定時效的誓約書，XXXX後過期失效。"
tw_310,"輕盈的祝福禮包，內裝創世神蒂安的信仰之力，使用後可獲得5本被封印的誓約書[15天]。"
tw_311,"輕盈的祝福禮包，內裝創世神蒂安的信仰之力，使用後可獲得10本被封印的誓約書[15天]。"
tw_312,"吟遊詩人的長靴，活動專屬裝備"
tw_313,"吟遊詩人的長靴，活動專屬裝備"
tw_314,"看上去像米飯，但是粘性卻比一般米飯強的神奇的食物！據說是從伊丁大陸以外的地區流傳進來的。"
