en_0,"0"
en_178,"Cow"
en_179,"Orc Fighter"
en_180,"Sandwood castle"
en_181,"Maros"
en_182,"Elven Gargden"
en_183,"Orc Town"
en_184,"Sandwood"
en_185,"To Promise Island"
en_186,"Thri Keen"
en_187,"Orc Archer"
en_188,"Orc Shaman"
en_189,"Orc Grunt"
en_190,"Orc Guard"
en_191,"Orc Slurbow"
en_192,"Orc Zombie"
en_193,"Orc Mage"
en_194,"Drow"
en_195,"Lolth"
en_196,"Elite Skeleton"
en_197,"Cora"
en_198,"Elite Skeleton Archer"
en_199,"Faustus"
en_200,"Elite Skeleton Axeman"
en_201,"Elite Skeleton Mage"
en_202,"Doris"
en_203,"Damon"
en_204,"Gullveig [Spellbook]"
en_205,"Galen"
en_206,"Scarecrow"
en_207,"Elite Skeleton Spear"
en_208,"Kirsten"
en_209,"Kell [EXP Restoration]"
en_210,"Skeleton Mage"
en_211,"Hen"
en_212,"Laura"
en_213,"Naomi"
en_214,"Nairobi"
en_215,"Marla"
en_216,"Duck"
en_217,"Marcia"
en_218,"Goose"
en_219,"Nedra"
en_220,"Pig"
en_221,"Ptolemy"
en_222,"Rabbit"
en_223,"Pascal [Weapon Shop]"
en_224,"Rhoda"
en_225,"Raymond"
en_226,"Ramla"
en_227,"Ram"
en_228,"Rabia [Armor Shop]"
en_229,"Sheep"
en_230,"Somali [Item Shop]"
en_231,"Sadie"
en_232,"Thurston"
en_233,"Themis"
en_234,"Uta"
en_235,"Upton"
en_236,"Promise Island Port Boatman"
en_237,"Merlin"
en_238,"Natalia"
en_239,"Soldier"
en_240,"Sandwood Castle Soldier"
en_241,"Dartford Castle Soldier"
en_242,"Elbereth"
en_243,"to_测试专用图"
en_244,"Mutated Ogre"
en_245,"Mutated Basilisk"
en_246,"Weakened Harpy"
en_247,"Mutated Lizardman"
en_248,"Weakened Werewolf"
en_249,"Andrew"
en_250,"Grazob"
en_251,"Mutated Beholder"
en_252,"Karguk [Warehouse]"
en_253,"Piggu [Weapon Shop]"
en_254,"Agrob [Armor Shop]"
en_255,"Lazgar [Item Shop]"
en_256,"Lana"
en_257,"Laucian"
en_258,"Owen"
en_259,"Weakened Scorpion"
en_260,"Cyclop (Discolor)"
en_261,"Ettin (Discolor)"
en_262,"Drake (Discolor)"
en_263,"Weakened Owlbear"
en_264,"Shadbak"
en_265,"Weakened Imp"
en_266,"Gnoll (Discolor)"
en_267,"Weakened Troglodyte"
en_268,"Troll (Discolor)"
en_269,"Goblin(Discolor)"
en_270,"Slime (Discolor)"
en_271,"Lolth (Discolor)"
en_272,"Weakened Thri Kreen"
en_273,"Sandwood Castle Tower 1"
en_274,"Sandwood Castle Tower 2"
en_275,"Sandwood Castle Tower 3"
en_276,"Sandwood Castle Tower 4"
en_277,"Orcish Guild Tower 1"
en_278,"Orcish Guild Tower 2"
en_279,"Orcish Guild Tower 3"
en_280,"Orcish Guild Tower 4"
en_281,"Edith"
en_282,"Gus"
en_283,"Percy"
en_284,"Gwen"
en_285,"Hoover"
en_286,"Irvin"
en_287,"Inez"
en_288,"Dura [Potion Shop]"
en_289,"Lum"
en_290,"Yatur"
en_291,"Orcish Guild Soldier"
en_292,"Orc Grunt (Discolor)"
en_293,"Orc Guard (Discolor)"
en_294,"Weakened Ungoliant"
en_295,"Hogoblin (Discolor)"
en_296,"Succubus Queen (Discolor)"
en_297,"Griffon (Discolor)"
en_298,"Slime (Earth)"
en_299,"Slime (Fire)"
en_300,"Goblin (Earth)"
en_301,"Inka"
en_302,"Hermes [Promise Island Dungeon]"
en_303,"Brooks [Weapon Shop]"
en_304,"Boatman"
en_305,"Justina [Item Shop]"
en_306,"Leah [Armor Shop]"
en_307,"Andrew [Warehouse]"
en_308,"Ptolemy [Bone Specialist]"
en_309,"Doris [Armor Specialist]"
en_310,"Zese [Edin Peak Teleporter]"
en_311,"Gary"
en_312,"Olivia"
en_313,"Carlos"
en_314,"Vicky"
en_315,"Ambrose"
en_316,"Brandon"
en_317,"Rufus"
en_318,"Falice"
en_319,"Nelson"
en_320,"Elsa"
en_321,"Gia"
en_322,"Camilla"
en_323,"Lorelei"
en_324,"Lohan"
en_325,"Cal"
en_326,"Sala"
en_327,"Wesley"
en_328,"Gaqe"
en_329,"Loretta"
en_330,"Brian"
en_331,"Nanette"
en_332,"Calder"
en_333,"Portia"
en_334,"Rance"
en_335,"Karl"
en_336,"David"
en_337,"Maris"
en_338,"Jill"
en_339,"Hosea"
en_340,"Gareth"
en_341,"Shiloh"
en_342,"Camellia"
en_343,"Craiq"
en_344,"Lennon"
en_345,"Pheadra"
en_346,"Garth [Edin Peak Teleporter]"
en_347,"Bettina"
en_348,"Aaron"
en_349,"Martin"
en_350,"Karol [Warehouse]"
en_351,"Lia"
en_352,"Valanthe"
en_353,"Heian"
en_354,"Antinua"
en_355,"Sandwood Castle Ranged Soldier"
en_356,"Dartford Castle Ranged Soldier"
en_357,"Enialis"
en_358,"Hermes"
en_359,"Polyrhachis"
en_360,"Rick"
en_361,"Fire Ant"
en_362,"Termite"
en_363,"Giant Ant (Discolor)"
en_364,"Lemur"
en_365,"Red Panda"
en_366,"Atub"
en_367,"Urim"
en_368,"Bumph [Potion Shop]"
en_369,"Yotul [Item Shop]"
en_370,"Mogak [Armor Shop]"
en_371,"Slog"
en_372,"Epkagut [Warehouse]"
en_373,"Jogug [Weapon Shop]"
en_374,"Bashuk [Armor Specialist]"
en_375,"Bor"
en_376,"Omugug"
en_377,"Supgugh"
en_378,"Panda"
en_379,"Bear"
en_380,"Armadillo"
en_381,"Cassandra's Guard"
en_382,"Adventurer"
en_383,"Felix"
en_384,"Patch"
en_385,"Magister"
en_386,"Force"
en_387,"Teleporter"
en_388,"Pangolin"
en_389,"Warren"
en_390,"Gordon"
en_391,"Erik"
en_392,"Dellas"
en_393,"Hunter"
en_394,"Cat"
en_395,"Tyson [Weapon Specialist]"
en_396,"Prince"
en_397,"Knight"
en_398,"Mage"
en_399,"Elf"
en_400,"Princess"
en_401,"Knight"
en_402,"Mage"
en_403,"Elf"
en_404,"Lawful"
en_405,"Chaotic"
en_406,"Neutral"
en_407,"Weapon-Dagger"
en_408,"Weapon-Blunt"
en_409,"Weapon-Crossbow"
en_410,"Weapon-Spear"
en_411,"Weapon-Wand"
en_412,"Weapon-Heavy Blunt"
en_413,"Weapon-Bow"
en_414,"Weapon-Claymore"
en_415,"Weapon-Lance"
en_416,"Armor-Helmet"
en_417,"Armor-Cloak"
en_418,"Armor-Shirt"
en_419,"Armor-Armour"
en_420,"Armor-Gloves"
en_421,"Armor-Shoes"
en_422,"Armor-Shield"
en_423,"Armor-Amulet"
en_424,"Armor-Rings"
en_425,"Armor-Belt"
en_426,"Armor-Ear Rings"
en_427,"Spellbook-Normal"
en_428,"Spellbook-Mage"
en_429,"Spellbook-ELF"
en_430,"Spellbook-Knight"
en_431,"Spellbook-Royal"
en_432,"Item-Potion"
en_433,"Item-Funtional Scroll"
en_434,"Item-Teleport Scroll"
en_435,"Weapon-Sword"
en_436,"Item-Sundries"
en_437,"Theodore [Market]"
en_438,"Sky [Clan Manager]"
en_439,"Nat"
en_440,"Roger [Redeem]"
en_441,"Event Merchant [Time Limited]"
en_442,"Event Agent [Time Limited]"
en_443,"Evil Slayer"
en_444,"Evil Watcher"
en_445,"Evil Inquisitor"
en_446,"Alchemist"
en_447,"Tiago"
en_448,"Merchant"
en_449,"Werewolf Pretender"
en_450,"Dwarf Pretender"
en_451,"Orc Pretender"
en_452,"Orc Fighter Pretender"
en_453,"Kobold Pretender"
en_454,"Goblin Pretender"
en_455,"Hobgoblin Pretender"
en_456,"Dwarf Fighter Pretender"
en_457,"Havel [Gold Coins]"
en_458,"Swain"
en_459,"Traveler"
en_460,"Rating Master"
en_461,"Darkness Bugbear"
en_462,"Darkness Thri Kreen"
en_463,"Darkness Cerberus"
en_464,"Darkness Stone Golem"
en_465,"Darkness Skeleton"
en_466,"Darkness Skeleton Archer"
en_467,"Darkness Skeleton Axeman"
en_468,"Darkness Skeleton Spear"
en_469,"Darkness Nightshade"
en_470,"Darkness Ghoul"
en_471,"Darkness Ungoliant"
en_472,"Darkness Zombie"
en_473,"Jax [Material Crafter]"
en_474,"Eternity"
en_475,"Tresure Box (Lucky)"
en_476,"Tresure Box (Boss)"
en_477,"Tresure Box (Join)"
en_478,"Tresure Box"
en_479,"Servant of Teon [Oath]"
en_480,"Teon's gift (1 day)"
en_481,"Teon's gift (5 day)"
en_482,"Teon's gift (30 day)"
en_483,"Teon's gift"
en_484,"Teon's gift (7 day)"
en_485,"Servant of Maria"
en_486,"The Fallen Gatekeeper"
en_487,"Maria, Servant of the Dead [transfer]"
en_488,"Clive [Clan Warehouse]"
en_489,"Pan [Shepherd]"
en_490,"Withered Wood Spirit"
en_491,"Vertan"
en_492,"Sylvia [Material]"
en_493,"Trick-or-Treat'n Tom"
en_494,"Kenny Candiless"
en_495,"Little Horn"
en_496,"Holiday Messenger"
en_497,"Elder Shaman"
en_498,"Castaway Pirate [Treasure]"
en_499,"Kindness Ring"
en_500,"High Grade Magic Gem"
en_501,"Scroll of Equipment Protection"
en_502,"Holy book"
en_503,"Copper Key"
en_504,"Wooden Key"
en_505,"Spellbook"
en_506,"Scroll"
en_507,"Wisdom Potion"
en_508,"Brave Potion"
en_509,"Bark"
en_510,"Branch of Life"
en_511,"Feather"
en_512,"Flute"
en_513,"Bone Fragments"
en_514,"Crystal"
en_515,"Powder"
en_516,"Bouquet"
en_517,"Hasting Potion"
en_518,"Green Potion"
en_519,"Lesser Healing Potion"
en_520,"Red Potion"
en_521,"Mana Recovery Potion"
en_522,"Blue Potion"
en_523,"Antidote"
en_524,"Emerald Potion"
en_525,"Greater Healing Potion"
en_526,"White Potion"
en_527,"Healing Potion"
en_528,"Orange Potion"
en_529,"Pumpkin"
en_530,"Corn"
en_531,"Gold"
en_532,"Elven Wafer"
en_533,"Scroll of Return - Promise Island Town"
en_534,"Scroll of Return - Promise Island Dungeon 1F"
en_535,"Scroll of Return - Promise Island Dungeon 2F"
en_536,"Scroll of Return - Old Escape Tunnel"
en_537,"Scroll of Return - Maros Dungeon 1F"
en_538,"Scroll of Return - Maros Dungeon 2F"
en_539,"Scroll of Return - Maros Dungeon 3F"
en_540,"Scroll of Return - Maros Dungeon 4F"
en_541,"Scroll of Return - Maros Dungeon 5F"
en_542,"Scroll of Return - Maros Dungeon 6F"
en_543,"Scroll of Return - Maros Dungeon 7F"
en_544,"Scroll of Return - Item Testing"
en_545,"Scroll of Return - Sandwood Castle Dungeon 1F"
en_546,"Scroll of Return - Sandwood Castle Dungeon 2F"
en_547,"Scroll of Return - Damelot"
en_548,"Scroll of Return - Damelot Dungeon 1F"
en_549,"Scroll of Return - Damelot Dungeon 2F"
en_550,"Scroll of Return - Damelot Dungeon 3F"
en_551,"Scroll of Return - Damelot Dungeon 4F"
en_552,"Scroll of Return - Sandwood Town"
en_553,"Scroll of Return - Desert Oasis"
en_554,"Scroll of Return - Maros Town"
en_555,"Scroll of Return - Orc Town"
en_556,"Scroll of Return - Orcish Guild"
en_557,"Scroll of Return - Sandwood Castle"
en_558,"Scroll of Return - Sandwood Inner City"
en_559,"Scroll of Return - Elven Garden"
en_560,"Scroll of Return - Elven Dungeon 1F"
en_561,"Scroll of Return - Elven Dungeon 2F"
en_562,"Scroll of Return - Elven Dungeon 3F"
en_563,"Scroll of Return - Drake Mountain Dungeon 1F"
en_564,"Scroll of Return - Drake Mountain Dungeon 2F"
en_565,"Scroll of Return - Drake Mountain Dungeon 3F"
en_566,"Scroll of Return - Drake Mountain Dungeon 4F"
en_567,"Scroll of Return - Drake Mountain Dungeon 5F"
en_568,"Scroll of Return - Drake Mountain Dungeon 6F"
en_569,"Scroll of Return - Drake Mountain Dungeon 7F"
en_570,"Scroll of Return - Sky Island"
en_571,"Scroll of Return - Desert Ant Cave 1-1"
en_572,"Scroll of Return - Desert Ant Cave 1-2"
en_573,"Scroll of Return - Desert Ant Cave 1-3"
en_574,"Scroll of Return - Desert Ant Cave 1-4"
en_575,"Scroll of Return - Desert Ant Cave 1-5"
en_576,"Scroll of Return - Desert Ant Cave 1-6"
en_577,"Scroll of Return - Desert Ant Cave 2-1"
en_578,"Scroll of Return - Desert Ant Cave 2-2"
en_579,"Scroll of Return - Desert Ant Cave 2-3"
en_580,"Scroll of Return - Desert Ant Cave 3"
en_581,"Scroll of Return - Desert Ant Queen nests"
en_582,"Special Spirit Crystal (Water)"
en_583,"Special Spirit Crystal (Fire)"
en_584,"Special Spirit Crystal (Wind)"
en_585,"Special Spirit Crystal (Earth)"
en_586,"General Scroll"
en_587,"Map"
en_588,"Ferry Ticket"
en_589,"Scroll of Level Up"
en_590,"Scroll of Level Down"
en_591,"Scroll of Lawful Rise"
en_592,"Scroll of Lawful Down"
en_593,"Death Potion"
en_594,"Scroll of Summon"
en_595,"Scroll of Return - Maros Town Hotel 1"
en_596,"Scroll of Return - Maros Town Hotel 2"
en_597,"Scroll of Return - Maros Town Hotel 3"
en_598,"Scroll of Return - Maros Town Hotel 4"
en_599,"Scroll of Return - Maros Town Hotel 5"
en_600,"Scroll of Return - Desert Hotel 1"
en_601,"Scroll of Return - Desert Hotel 2"
en_602,"Scroll of Return - Desert Hotel 3"
en_603,"Scroll of Return - Desert Hotel 4"
en_604,"Scroll of Return - Desert Hotel 5"
en_605,"Scroll of Return - Promise Island Town Hotel 1"
en_606,"Scroll of Return - Promise Island Town Hotel 2"
en_607,"Scroll of Return - Promise Island Town Hotel 3"
en_608,"Scroll of Return - Promise Island Town Hotel 4"
en_609,"Scroll of Return - Promise Island Town Hotel 5"
en_610,"Scroll of Return - Promise Island Town Hotel 6"
en_611,"Reset Skill Potion"
en_612,"Novice Scroll"
en_613,"Scroll of Return - Oxvale Dungeon"
en_614,"Allay Excitement Potion"
en_615,"Weakened Werewolf Fangs"
en_616,"Fragment of Time Crystal"
en_617,"Feather of Weakened Harpy (Quest)"
en_618,"Food of Weakened Owlbear"
en_619,"Novice Healing Potion"
en_620,"Novice Orange Potion"
en_621,"Vanilla cookies"
en_622,"Novice Lesser Healing Potion"
en_623,"Novice Red Potion"
en_624,"Novice Hasting Potion"
en_625,"Novice Green Potion"
en_626,"Scroll of Return - [Edin Monument]"
en_627,"Justina's Container"
en_628,"Fire Vines (Quest)"
en_629,"Broken Blade"
en_630,"Zombie Soul Crystal"
en_631,"Floating Eye Soul Crystal"
en_632,"Blood of Ghoul"
en_633,"Wolf Pelt (Quest)"
en_634,"Time Crystal"
en_635,"Leah's Armor Storage"
en_636,"Leah's Healing Potion"
en_637,"Hunter's Leather"
en_638,"Spellbook"
en_639,"Novice"
en_640,"Servant of Death Knight"
en_641,"Trainee's Scroll of Polymorph"
en_642,"Magical Shield"
en_643,"Energy Bolt"
en_644,"Ice Dagger"
en_645,"Lesser Heal"
en_646,"Teleport"
en_647,"Light"
en_648,"Holy Weapon"
en_649,"Wind Shuriken"
en_650,"Hell Fang"
en_651,"Chill Touch"
en_652,"Enchant Weapon"
en_653,"Curse：Poison"
en_654,"Fire Arrow"
en_655,"Detection"
en_656,"Cure Poison"
en_657,"Decrease Weight"
en_658,"Heal"
en_659,"Frozen Cloud"
en_660,"Lightning"
en_661,"Reveal Weakness"
en_662,"Turn Undead"
en_663,"Blessed Armor"
en_664,"Curse： Blind"
en_665,"Meditation"
en_666,"Vampire Touch"
en_667,"Weapon Break"
en_668,"Earth Jail"
en_669,"Fireball"
en_670,"Slow"
en_671,"Enhance DEX"
en_672,"Counter Magic"
en_673,"Cone of Cold"
en_674,"Curse： Paralyze"
en_675,"Call Lightning"
en_676,"Remove Curse"
en_677,"Tame Monster"
en_678,"Greater Heal"
en_679,"Mana Drain"
en_680,"Curse： Darkness"
en_681,"Haste"
en_682,"Eruption"
en_683,"Weakness"
en_684,"Sunburst"
en_685,"Bless Weapon"
en_686,"Create Zombie"
en_687,"Enhance STR"
en_688,"Cancel Magic"
en_689,"Freeze"
en_690,"Monster Call"
en_691,"Greater Haste"
en_692,"Berserk"
en_693,"Disease"
en_694,"Holy Walk"
en_695,"Heal Pledge"
en_696,"Tornado"
en_697,"Magical Mine"
en_698,"Full Heal"
en_699,"Blizzard"
en_700,"Life Stream"
en_701,"Firewall"
en_702,"Resurrection"
en_703,"Invisibility"
en_704,"Earthquake"
en_705,"Silence"
en_706,"Holy Detection"
en_707,"Fog of Sleeping"
en_708,"Fire Storm"
en_709,"Shield of Protection"
en_710,"Decay Potion"
en_711,"Shape Change"
en_712,"Mass Teleport"
en_713,"Lighting Storm"
en_714,"Force Field"
en_715,"Inner Sight"
en_716,"Snow Hurricane"
en_717,"Create Magical Weapon"
en_718,"Meteor Strike"
en_719,"Destroy"
en_720,"Greater Resurrection"
en_721,"Absolute Barrier"
en_722,"Mass Slow"
en_723,"Advance Spirit"
en_724,"Change Position"
en_725,"Enhanced Mass Teleport"
en_726,"Paralyze All"
en_727,"Reflecting Pool"
en_728,"Vulcan"
en_729,"[Time Limited]"
en_730,"Quest Item"
en_731,"Vulcan Wooden Box"
en_732,"Weapon Source Crystal I"
en_733,"Weapon Source Crystal Ⅱ"
en_734,"Weapon Source Crystal Ⅲ"
en_735,"Weapon Source Crystal IV"
en_736,"月灵石"
en_737,"棋羿"
en_738,"中秋礼券"
en_739,"中秋礼券·兑换函"
en_740,"Return to World Tree"
en_741,"Mind Conversion"
en_742,"Resist Magic"
en_743,"Resist Elemental"
en_744,"Clear Mind"
en_745,"Triple Arrow"
en_746,"Elemental Protection"
en_747,"Entangle"
en_748,"Earth Skin"
en_749,"Water Life"
en_750,"Fire Weapon"
en_751,"Return to Nature"
en_752,"Wind Walk"
en_753,"Wind Shot"
en_754,"Blood to Soul"
en_755,"Summon Lesser Elemental"
en_756,"Earth Barrier"
en_757,"Earth Guardian"
en_758,"Elemental Weaken"
en_759,"Eye of Storm"
en_760,"Aqua Protect"
en_761,"Dancing Blaze"
en_762,"Nature's Touch"
en_763,"Erase Magic"
en_764,"Summon Greater Elemental"
en_765,"Area of Silence"
en_766,"Elemental Fire"
en_767,"Storm Walk"
en_768,"Storm Shot"
en_769,"Pollute Water"
en_770,"Burning Weapon"
en_771,"Soul of Flame"
en_772,"Nature's Miracle"
en_773,"Nature's Blessing"
en_774,"Precise Shot"
en_775,"Additional Fire"
en_776,"Iron Skin"
en_777,"Counter Mirror"
en_778,"Wind Shackle"
en_779,"Exotic Vitalize"
en_780,"Solid Defence"
en_781,"Enhance Armor"
en_782,"Counter Barrier"
en_783,"Shock Stun"
en_784,"Bounce Attack"
en_785,"Precise Target"
en_786,"Call Clan"
en_787,"Glowing Aura"
en_788,"Assist Clan"
en_789,"Brave Aura"
en_790,"Shining Aura"
en_791,"Novice Gift Package"
en_792,"Element of Thunder"
en_793,"Element of Fire"
en_794,"Element of Water"
en_795,"Element of Earth"
en_796,"Element of Wind"
en_797,"Bean Paste Mooncake"
en_798,"Osmanthus Mooncake"
en_799,"Lotus Seed mooncake"
en_800,"Salted Egg Yolk Mooncake"
en_801,"Lamp"
en_802,"Lanterns"
en_803,"Kerosene"
en_804,"Magic Lanterns"
en_805,"Candles"
en_806,"Wand of Conjure Monster"
en_807,"Wand of Pine"
en_808,"Wand of Call Lightning"
en_809,"Wand of Ebony"
en_810,"Wand of Polymorph"
en_811,"Wand of Maple"
en_812,"Wand of Expel"
en_813,"Greater Hasting Potion"
en_814,"Greater Green Potion"
en_815,"Condensed Lesser Healing Potion"
en_816,"Condensed Healing Potion"
en_817,"Greater Condensed Healing Potion"
en_818,"Condensed Orange Potion"
en_819,"Condensed Greater Healing Potion"
en_820,"Condensed White Potion"
en_821,"Ancient Lesser Healing Potion"
en_822,"Ancient Red Potion"
en_823,"Ancient Healing Potion"
en_824,"Ancient Orange Potion"
en_825,"Ancient Greater Healing Potion"
en_826,"Ancient White Potion"
en_827,"Blindness Potion"
en_828,"Black Potion"
en_829,"Elixir (STR)"
en_830,"Elixir (CON)"
en_831,"Elixir (DEX)"
en_832,"Elixir (INT)"
en_833,"Elixir (WIS)"
en_834,"Elixir (CHA)"
en_835,"Wine"
en_836,"Whiskey"
en_837,"Mental Acuity Potion"
en_838,"Diamond"
en_839,"Ruby"
en_840,"Sapphire"
en_841,"Emerald"
en_842,"High Quality Diamond"
en_843,"High Quality Ruby"
en_844,"High Quality Sapphire"
en_845,"High Quality Emerald"
en_846,"Highest Quality Diamond"
en_847,"Highest Quality Ruby"
en_848,"Highest Quality Sapphire"
en_849,"Highest Quality Emerald"
en_850,"Meat"
en_851,"Meat of Floating Eye"
en_852,"Egg"
en_853,"Carrot"
en_854,"Lemon"
en_855,"Banana"
en_856,"Apple"
en_857,"Orange"
en_858,"Scroll of Enchant Armor"
en_859,"Scroll of Destroy Armor"
en_860,"Scroll of Escape"
en_861,"Scroll of Mass Teleport"
en_862,"Scroll of Enchant Weapon"
en_863,"Scroll of Polymorph"
en_864,"Scroll of Resurrection"
en_865,"Trainee's Scroll of Escape"
en_866,"Trainee's Scroll of Curse Removal"
en_867,"Trainee's Scroll of Identify"
en_868,"Trainee's Scroll of Teleportation"
en_869,"Scroll of Teleportation"
en_870,"Scroll of Curse Removal"
en_871,"Scroll of Identify"
en_872,"Golem Heart"
en_873,"Golden Key"
en_874,"Drake Heart"
en_875,"Platinum"
en_876,"Inn Room Key"
en_877,"Silver Key"
en_878,"Pet Collar"
en_879,"Whetstone"
en_880,"Magic Gem"
en_881,"Spirit Gem"
en_882,"Scale of Scatha"
en_883,"Claw of Scatha"
en_884,"Eye of Scatha"
en_885,"Blood of Scatha"
en_886,"Flesh of Scatha"
en_887,"Heart of Scatha"
en_888,"Bone of Scatha"
en_889,"Tooth of Scatha"
en_890,"Fire Dragon Scale"
en_891,"Wind Dragon Scale"
en_892,"Water Dragon Scale"
en_893,"Earth Dragon Scale"
en_894,"Leather"
en_895,"Hard Leather"
en_896,"Lump of Iron"
en_897,"Silk of Lolth"
en_898,"Wolf Pelt"
en_899,"Platinum Plate"
en_900,"Platinum"
en_901,"Rough of Platinum"
en_902,"Juice of Slime"
en_903,"Lump of Dark Mithril"
en_904,"Rough of Dark Mithril"
en_905,"Dark Mithril Plate"
en_906,"Blue cloth"
en_907,"Red cloth"
en_908,"White cloth"
en_909,"Scale"
en_910,"Scorpion Shell"
en_911,"Lump of Silver"
en_912,"Rough of Silver"
en_913,"Silver Plate"
en_914,"Piece of Rough"
en_915,"Fragment of Spirit"
en_916,"Cerberus Fur"
en_917,"Gold Plate"
en_918,"Lump of Gold"
en_919,"Rough of Gold"
en_920,"Griffon Feather"
en_921,"Mithril Thread"
en_922,"Mithril Block"
en_923,"Mithril Plate"
en_924,"Thread"
