tw_0,$0
tw_99,"嗜血重弩手頭目"
tw_100,"嗜血重弩手"
tw_101,哥布林
tw_102,獸人
tw_103,地精
tw_104,狼人
tw_105,小惡魔
tw_106,侏儒
tw_107,史萊姆
tw_108,喪屍
tw_109,魔眼
tw_110,豺狼人
tw_111,侏儒戰士
tw_112,骷髏
tw_113,兵蟻
tw_114,骷髏弓箭手
tw_115,石頭戈倫
tw_116,骷髏斧頭兵
tw_117,骷髏長矛兵
tw_118,屍羅蜘蛛
tw_119,霍布哥布林
tw_120,蜥蜴人
tw_121,梟熊
tw_122,戰蜥人
tw_123,食屍鬼
tw_124,夜影
tw_125,人狼
tw_126,昂哥蜘蛛
tw_127,變形怪
tw_128,巨螞蟻
tw_129,食腐魔
tw_130,長者魔法師
tw_131,熊地精
tw_132,地獄犬
tw_133,蠍子
tw_134,哈爾皮埃
tw_135,食人魔
tw_136,巨魔
tw_137,獅鷲
tw_138,巨眼怪
tw_139,蛇雞獸
tw_140,雙頭巨人
tw_141,巴西利斯克
tw_142,魅魔
tw_143,獨眼巨人
tw_144,魅魔妖后
tw_145,巫師
tw_146,詩蔻蒂
tw_147,索羅納
tw_148,恩多
tw_149,斯韋丹
tw_150,德雷克
tw_151,黑長者
tw_152,巴風特
tw_153,貝雷特
tw_154,布倫丹
tw_155,死亡騎士
tw_156,蟻后
tw_157,斯科特
tw_158,瓊安娜
tw_159,阿弗瑞德
tw_160,茵卡
tw_161,伯特倫
tw_162,"奧爾佳 [道具店]"
tw_163,"柏宜斯"
tw_164,"布魯克斯"
tw_165,"西瑞爾[變形]"
tw_166,"澤恩"
tw_167,"科迪莉婭"
tw_168,"查德"
tw_169,"卡珊特拉"
tw_170,"卡瑞娜"
tw_171,"狗"
tw_172,"馬"
tw_173,"泰勒 [藥店]"
tw_174,"賈絲汀娜"
tw_175,"莉婭"
tw_176,"護法者"
tw_177,"喵星人"
tw_178,"牛"
tw_179,獸人戰士
tw_180,前往_沙棘木城堡
tw_181,前往_馬婁斯
tw_182,前往_精靈園林
tw_183,前往_妖魔村
tw_184,前往_沙棘木二層
tw_185,前往_應許之島
tw_186,螳螂人
tw_187,獸人弓箭手
tw_188,獸人薩滿
tw_189,獸人步兵
tw_190,獸人衛兵
tw_191,獸人重弩手
tw_192,獸人僵屍
tw_193,獸人法師
tw_194,暗黑精靈
tw_195,黑暗蜘蛛
tw_196,精英骷髏
tw_197,柯拉
tw_198,精英骷髏弓箭手
tw_199,浮士德
tw_200,精英骷髏斧頭兵
tw_201,精英骷髏法師
tw_202,多麗絲
tw_203,達蒙
tw_204,吉爾維格 [魔法書]
tw_205,伽林
tw_206,稻草人
tw_207,精英骷髏長矛兵
tw_208,柯爾絲頓
tw_209,傳教士[經驗回購]
tw_210,骷髏法師
tw_211,雞
tw_212,蘿拉
tw_213,拿俄米
tw_214,奈洛比
tw_215,瑪拉
tw_216,鴨
tw_217,瑪西婭
tw_218,鵝
tw_219,尼翠爾
tw_220,豬
tw_221,托勒密
tw_222,兔
tw_223,"帕斯卡 [武器店]"
tw_224,羅達
tw_225,雷蒙德
tw_226,瑞瑪奧
tw_227,拉姆
tw_228,"瑞比婭 [防具店]"
tw_229,羊
tw_230,"索瑪麗 [道具店]"
tw_231,塞迪
tw_232,瑟斯頓
tw_233,西彌斯
tw_234,尤塔
tw_235,阿普頓
tw_236,應許之島碼頭船家
tw_237,梅林
tw_238,娜塔莉塔
tw_239,士兵
tw_240,城堡士兵
tw_241,達特福德城堡士兵
tw_242,瓦爾妲
tw_243,to_測試專用圖
tw_244,變異食人魔
tw_245,變異巴西利斯克
tw_246,弱化哈爾皮埃
tw_247,變異蜥蜴人
tw_248,弱化狼人
tw_249,安德魯
tw_250,古紮布
tw_251,變異巨眼怪
tw_252,"卡古克 [倉庫]"
tw_253,"彼格古 [武器店]"
tw_254,"艾格琳"
tw_255,"拉之葛 [道具店]"
tw_256,拉娜
tw_257,勞西安
tw_258,歐文
tw_259,弱化蠍子
tw_260,獨眼巨人_變色
tw_261,雙頭巨人_變色
tw_262,德雷克_變色
tw_263,弱化梟熊
tw_264,莎貝可
tw_265,弱化小惡魔
tw_266,豺狼人_變色
tw_267,弱化戰蜥人
tw_268,巨魔_變色
tw_269,哥布林_變色
tw_270,史萊姆_變色
tw_271,黑暗蜘蛛_變色
tw_272,弱化螳螂人
tw_273,沙棘木城堡
tw_274,沙棘木城堡_塔_2
tw_275,沙棘木城堡_塔_3
tw_276,沙棘木城堡_塔_4
tw_277,妖魔城堡_塔_1
tw_278,妖魔城堡_塔_2
tw_279,妖魔城堡_塔_3
tw_280,妖魔城堡_塔_4
tw_281,伊蒂絲
tw_282,格斯
tw_283,珀西
tw_284,格溫
tw_285,胡佛
tw_286,埃文
tw_287,伊內姿
tw_288,"杜拉 [藥店]"
tw_289,朗姆
tw_290,伊特
tw_291,妖魔城堡士兵
tw_292,獸人步兵_變色
tw_293,獸人衛兵_變色
tw_294,弱化昂哥蜘蛛
tw_295,霍布哥布林_變色
tw_296,魅魔妖后_變色
tw_297,獅鷲_變色
tw_298,史萊姆_變色_土
tw_299,史萊姆_變色_火
tw_300,哥布林_變色_土
tw_301,茵卡_衛兵
tw_302,"赫爾默斯 [應許之島地監]"
tw_303,"布魯克斯 [武器店]"
tw_304,"船家 [傳送師]"
tw_305,"賈絲汀娜 [道具店]"
tw_306,"利婭 [防具店]"
tw_307,"安德魯 [倉庫]"
tw_308,"托勒密 [骨甲師]"
tw_309,"多麗絲 [防具製作]"
tw_310,"澤斯"
tw_311,加夫
tw_312,奧莉維亞
tw_313,卡洛斯
tw_314,維姬
tw_315,安布羅斯
tw_316,布蘭東
tw_317,魯弗斯
tw_318,菲莉絲
tw_319,納爾遜
tw_320,埃爾莎
tw_321,吉婭
tw_322,卡蜜拉
tw_323,洛勒萊
tw_324,羅漢
tw_325,凱爾
tw_326,塞拉
tw_327,韋斯莉
tw_328,蓋奇
tw_329,洛雷塔
tw_330,布萊恩
tw_331,南尼特
tw_332,考爾德
tw_333,波西亞
tw_334,蘭斯
tw_335,卡爾
tw_336,大衛
tw_337,瑪麗思
tw_338,吉爾
tw_339,赫西
tw_340,加雷斯
tw_341,夏伊洛
tw_342,卡米麗婭
tw_343,克雷格
tw_344,雷納德
tw_345,菲德拉
tw_346,"加斯 [伊丁之極傳送]"
tw_347,貝蒂娜
tw_348,亞倫
tw_349,馬丁
tw_350,"卡羅爾 [倉庫]"
tw_351,莉雅
tw_352,維蘭瑟
tw_353,海安
tw_354,安緹諾雅
tw_355,沙棘木城堡遠端士兵
tw_356,達特福德城堡遠端士兵
tw_357,恩尼亞裡斯
tw_358,赫爾默斯
tw_359,刺蟻
tw_360,裡克
tw_361,火蟻
tw_362,白蟻
tw_363,巨螞蟻_變色
tw_364,狐猴
tw_365,小熊貓
tw_366,艾德爾
tw_367,尤林
tw_368,"芭弗 [藥店]"
tw_369,"尤托爾 [道具店]"
tw_370,"姆雅克"
tw_371,斯洛格
tw_372,"伊卡古特 [倉庫]"
tw_373,"約翰格 [武器店]"
tw_374,"貝舒可 [防具製作]"
tw_375,布林
tw_376,阿米古格
tw_377,塞古夫
tw_378,熊貓
tw_379,熊
tw_380,鎧鼠
tw_381,卡珊特拉居所士兵
tw_382,冒險者
tw_383,菲利克斯
tw_384,帕奇
tw_385,魔導師
tw_386,巨力怪
tw_387,傳送師
tw_388,穿山甲
tw_389,沃倫
tw_390,戈東
tw_391,艾力克
tw_392,德拉斯
tw_393,亨特
tw_394,小貓
tw_395,"泰森 [武器製作]"
tw_396,王子
tw_397,男騎士
tw_398,男法師
tw_399,男精靈
tw_400,公主
tw_401,女騎士
tw_402,女法師
tw_403,女精靈
tw_404,正義者
tw_405,邪惡者
tw_406,中立者
tw_407,武器-匕首
tw_408,武器-單手鈍器
tw_409,武器-單手弓
tw_410,武器-單手矛
tw_411,武器-單手魔杖
tw_412,武器-雙手鈍器
tw_413,武器-雙手弓
tw_414,武器-雙手劍
tw_415,武器-雙手矛
tw_416,防具-頭盔
tw_417,防具-斗篷
tw_418,防具-T恤
tw_419,防具-盔甲
tw_420,防具-手套
tw_421,防具-鞋
tw_422,防具-盾
tw_423,防具-項錬
tw_424,防具-戒指
tw_425,防具-腰帶
tw_426,防具-耳環
tw_427,魔法書-通用
tw_428,魔法書-法師
tw_429,魔法書-精靈
tw_430,魔法書-騎士
tw_431,魔法書-皇族
tw_432,道具-藥水
tw_433,道具-功能卷軸
tw_434,道具-傳送卷軸
tw_435,武器-单手劍
tw_436,道具-杂物
tw_437,"西奧多 [寄賣市場]"
tw_438,"斯凱 [血盟管理員]"
tw_439,奈特
tw_440,羅傑[強化]
tw_441,"優惠商人 [限時]"
tw_442,"活動聯絡者 [限時]"
tw_443,邪惡屠戮者
tw_444,邪惡監視者
tw_445,邪惡審判者
tw_446,煉金師
tw_447,狄亞戈
tw_448,神秘商人
tw_449,狼人偽裝者
tw_450,侏儒偽裝者
tw_451,獸人偽裝者
tw_452,獸人戰士偽裝者
tw_453,地精偽裝者
tw_454,哥布林偽裝者
tw_455,霍布哥布林偽裝者
tw_456,侏儒戰士偽裝者
tw_457,哈維爾[強化]
tw_458,斯溫
tw_459,遊歷商人
tw_460,五星大師
tw_461,漆黑的熊地精
tw_462,漆黑的螳螂人
tw_463,漆黑的地獄犬
tw_464,漆黑的石頭戈崙
tw_465,漆黑的骷髏
tw_466,漆黑的骷髏弓箭手
tw_467,漆黑的骷髏斧頭兵
tw_468,漆黑的骷髏長矛兵
tw_469,漆黑的夜影
tw_470,漆黑的食屍鬼
tw_471,漆黑的昂哥蜘蛛
tw_472,漆黑的喪屍
tw_473,"賈克斯 [材料合成]"
tw_474,"永生者 [賬號綁定]"
tw_475,活動幸運禮包
tw_476,活動贊王禮包
tw_477,活動參與禮包
tw_478,活動禮包
tw_479,"蒂安神的僕從 [誓約書]"
tw_480,蒂安神的贈禮[1天]
tw_481,蒂安神的贈禮[3天]
tw_482,蒂安神的贈禮[30天]
tw_483,蒂安神的贈禮
tw_484,蒂安神的贈禮[7天]
tw_485,死神瑪麗亞的僕從
tw_486,墮落的守門者
tw_487,"死神瑪麗亞的僕從 [傳送]"
tw_488,"克萊夫 [血盟倉庫管理員]"
tw_489,"潘 [牧羊人]"
tw_490,枯萎的木靈
tw_491,"月光女神瓦爾妲[覺醒]"
tw_492,"西維亞"
tw_493,不給糖就搗蛋
tw_494,給糖就不搗蛋
tw_495,搗亂的小惡魔
tw_496,節日使者
tw_497,長者薩滿
tw_498,"落魄的海賊 [寶藏]"
tw_499,友善戒指
tw_500,高級魔法寶石
tw_501,裝備保護卷軸
tw_502,聖書
tw_503,銅鑰匙
tw_504,木鑰匙
tw_505,魔法書
tw_506,卷軸
tw_507,慎重藥水
tw_508,勇敢藥水
tw_509,樹皮
tw_510,復甦的樹枝
tw_511,羽毛
tw_512,笛子
tw_513,庫洛碎片
tw_514,水晶
tw_515,粉末
tw_516,花束
tw_517,自我加速藥水
tw_518,綠色藥水
tw_519,治癒藥水
tw_520,紅色藥水
tw_521,加速魔力恢復藥水
tw_522,藍色藥水
tw_523,解毒藥水
tw_524,翡翠藥水
tw_525,終極治癒藥水
tw_526,白色藥水
tw_527,強力治癒藥水
tw_528,橙色藥水
tw_529,南瓜
tw_530,玉米
tw_531,金幣
tw_532,精靈餅乾
tw_533,應許之島村莊指定傳送卷軸
tw_534,應許地監1層指定傳送卷軸
tw_535,應許地監2層指定傳送卷軸
tw_536,古老隧道指定傳送卷軸
tw_537,馬洛斯地監1層指定傳送卷軸
tw_538,馬洛斯地監2層指定傳送卷軸
tw_539,馬洛斯地監3層指定傳送卷軸
tw_540,馬洛斯地監4層指定傳送卷軸
tw_541,馬洛斯地監5層指定傳送卷軸
tw_542,馬洛斯地監6層指定傳送卷軸
tw_543,馬洛斯地監7層指定傳送卷軸
tw_544,物品測試指定傳送卷軸
tw_545,沙棘木地監獄1層指定傳送卷軸
tw_546,沙棘木地監獄2層指定傳送卷軸
tw_547,騎特拉村莊指定傳送卷軸
tw_548,騎特拉地監1層指定傳送卷軸
tw_549,騎特拉地監2層指定傳送卷軸
tw_550,騎特拉地監3層指定傳送卷軸
tw_551,騎特拉地監4層指定傳送卷軸
tw_552,沙棘木村莊指定傳送卷軸
tw_553,沙漠綠洲指定傳送卷軸
tw_554,馬洛斯城鎮指定傳送卷軸
tw_555,妖魔村莊指定傳送卷軸
tw_556,妖魔城堡指定傳送卷軸
tw_557,沙棘木城堡指定傳送卷軸
tw_558,沙棘木內城指定傳送卷軸
tw_559,精靈園林指定傳送卷軸
tw_560,精靈地監1層指定傳送卷軸
tw_561,精靈地監2層指定傳送卷軸
tw_562,精靈地監3層指定傳送卷軸
tw_563,德雷克地監1層指定傳送卷軸
tw_564,德雷克地監2層指定傳送卷軸
tw_565,德雷克地監3層指定傳送卷軸
tw_566,德雷克地監4層指定傳送卷軸
tw_567,德雷克地監5層指定傳送卷軸
tw_568,德雷克地監6層指定傳送卷軸
tw_569,德雷克地監7層指定傳送卷軸
tw_570,伊丁之極指定傳送卷軸
tw_571,蟻洞1-1指定傳送卷軸
tw_572,蟻洞1-2指定傳送卷軸
tw_573,蟻洞1-3指定傳送卷軸
tw_574,蟻洞1-4指定傳送卷軸
tw_575,蟻洞1-5指定傳送卷軸
tw_576,蟻洞1-6指定傳送卷軸
tw_577,蟻洞2-1指定傳送卷軸
tw_578,蟻洞2-2指定傳送卷軸
tw_579,蟻洞2-3指定傳送卷軸
tw_580,蟻洞3層指定傳送卷軸
tw_581,蟻后巢穴指定傳送卷軸
tw_582,"精靈結晶(水)"
tw_583,"精靈結晶(火)"
tw_584,"精靈結晶(風)"
tw_585,"精靈結晶(地)"
tw_586,通用卷軸
tw_587,地圖
tw_588,船票
tw_589,+1等級卷軸
tw_590,-1等級卷軸
tw_591,+10K正義值卷軸
tw_592,-10K正義值卷軸
tw_593,死亡藥水
tw_594,召喚怪物魔杖
tw_595,馬洛斯酒店室內-1指定傳送卷軸
tw_596,馬洛斯酒店室內-2指定傳送卷軸
tw_597,馬洛斯酒店室內-3指定傳送卷軸
tw_598,馬洛斯酒店室內-4指定傳送卷軸
tw_599,馬洛斯酒店室內-4指定傳送卷軸
tw_600,沙漠地區酒店-1指定傳送卷軸
tw_601,沙漠地區酒店-2指定傳送卷軸
tw_602,沙漠地區酒店-3指定傳送卷軸
tw_603,沙漠地區酒店-4指定傳送卷軸
tw_604,沙漠地區酒店-5指定傳送卷軸
tw_605,應許村酒店-1指定傳送卷軸
tw_606,應許村酒店-2指定傳送卷軸
tw_607,應許村酒店-3指定傳送卷軸
tw_608,應許村酒店-4指定傳送卷軸
tw_609,應許村酒店-5指定傳送卷軸
tw_610,應許村酒店-5指定傳送卷軸
tw_611,重置魔法藥水
tw_612,新手卷軸
tw_613,勞華地監傳送卷軸
tw_614,寧神藥水
tw_615,弱化狼人的獠牙
tw_616,時光晶石碎片
tw_617,弱化哈爾皮埃的飛羽
tw_618,弱化梟熊的食物
tw_619,新手強力治癒藥水
tw_620,新手橙色藥水
tw_621,香草餅乾
tw_622,新手治癒藥水
tw_623,新手紅色藥水
tw_624,新手自我加速藥水
tw_625,新手綠色藥水
tw_626,[伊丁豐碑]傳送卷軸
tw_627,賈絲汀娜的貨箱
tw_628,火藤
tw_629,斷刃
tw_630,喪屍的靈魂晶石
tw_631,魔眼的靈魂晶石
tw_632,食屍鬼的血液
tw_633,狼皮
tw_634,時光晶石
tw_635,利婭的防具貨箱
tw_636,利婭的康復藥水
tw_637,亨特的皮革
tw_638,魔法書
tw_639,新手
tw_640,死亡騎士的僕從
tw_641,新手變形卷軸
tw_642,保護罩
tw_643,光箭
tw_644,冰箭
tw_645,初級治癒術
tw_646,指定傳送術
tw_647,日光術
tw_648,神聖武器
tw_649,風刃
tw_650,影牙術
tw_651,寒冷戰栗
tw_652,附魔武器
tw_653,毒咒
tw_654,火箭
tw_655,破匿之眼
tw_656,解毒術
tw_657,負重強化
tw_658,中級治癒術
tw_659,寒冰氣息
tw_660,極光雷電
tw_661,弱性感測
tw_662,超渡術
tw_663,護持
tw_664,暗盲咒術
tw_665,冥想術
tw_666,吸血鬼之吻
tw_667,壞物術
tw_668,岩牢
tw_669,燃燒的火球
tw_670,緩速術
tw_671,通暢氣脈術
tw_672,魔法屏障
tw_673,冰錐
tw_674,縛身術
tw_675,極道落雷
tw_676,聖潔之光
tw_677,迷魅術
tw_678,高級治癒術
tw_679,魔力奪取
tw_680,黑暗之影
tw_681,加速術
tw_682,地裂術
tw_683,弱化術
tw_684,烈炎術
tw_685,神佑武器
tw_686,傀儡術
tw_687,體魄強健術
tw_688,魔法相消術
tw_689,冰矛圍籬
tw_690,召喚術
tw_691,強力加速術
tw_692,狂暴術
tw_693,疾病術
tw_694,神聖疾走
tw_695,體力恢復術
tw_696,龍捲風
tw_697,魔法陷阱
tw_698,全部治癒術
tw_699,冰雪暴
tw_700,治癒風暴
tw_701,火牆
tw_702,返生術
tw_703,隱身術
tw_704,震裂術
tw_705,魔法封印
tw_706,破匿聖光
tw_707,沉睡之霧
tw_708,火風暴
tw_709,聖結界
tw_710,霜化術
tw_711,變形術
tw_712,集體傳送術
tw_713,雷霆風暴
tw_714,力場
tw_715,強化視野
tw_716,冰雪颶風
tw_717,煉魔武器
tw_718,流星雨
tw_719,究極光裂術
tw_720,終極返生術
tw_721,絕對屏障
tw_722,集體緩速術
tw_723,靈魂昇華
tw_724,換位術
tw_725,究極傳送術
tw_726,瞬間停止
tw_727,反射之池
tw_728,"火神慶典禮券"
tw_729,"[限時]"
tw_730,"任務物品"
tw_731,"火神伏爾坎的祝福券"
tw_732,"Lv.1武器源晶(封印)"
tw_733,"Lv.2武器源晶(封印)"
tw_734,"Lv.3武器源晶(封印)"
tw_735,"Lv.4武器源晶(封印)"
tw_736,"月靈石"
tw_737,"棋羿"
tw_738,"中秋禮券"
tw_739,"中秋禮券·兌換函"
tw_740,世界樹呼喚
tw_741,心靈轉換
tw_742,魔法防禦
tw_743,元素防禦
tw_744,淨化精神
tw_745,三重矢
tw_746,單元素防禦
tw_747,地面障礙
tw_748,大地防護
tw_749,水之元氣
tw_750,火焰武器
tw_751,釋放元素
tw_752,風之疾走
tw_753,風之神射
tw_754,魂體轉換
tw_755,通靈術
tw_756,大地屏障
tw_757,大地的祝福
tw_758,弱化元素
tw_759,暴風之眼
tw_760,水之防護
tw_761,烈炎氣息
tw_762,生命之泉
tw_763,魔法消除
tw_764,強力通靈術
tw_765,封印禁地
tw_766,元素之火
tw_767,暴風疾走
tw_768,暴風神射
tw_769,污濁之水
tw_770,烈炎武器
tw_771,烈焰之魂
tw_772,生命呼喚
tw_773,生命的祝福
tw_774,精準射擊
tw_775,灼魂之火
tw_776,鋼鐵防護
tw_777,鏡反射
tw_778,風之枷鎖
tw_779,大地之魂
tw_780,堅固防護
tw_781,增幅防禦
tw_782,反擊屏障
tw_783,衝擊之暈
tw_784,尖刺盔甲
tw_785,精準目標
tw_786,呼喚盟友
tw_787,激勵士氣
tw_788,援護盟友
tw_789,衝擊士氣
tw_790,鋼鐵士氣
tw_791,"新手福利"
tw_792,雷之元素
tw_793,火之元素
tw_794,水之元素
tw_795,土之元素
tw_796,風之元素
tw_797,豆沙月餅
tw_798,桂花月餅
tw_799,蓮蓉月餅
tw_800,雙黃月餅
tw_801,燈
tw_802,燈籠
tw_803,燈油
tw_804,魔法燈籠
tw_805,蠟燭
tw_806,創造怪物魔杖
tw_807,松木魔杖
tw_808,閃電魔杖
tw_809,烏木魔杖
tw_810,變形魔杖
tw_811,楓木魔杖
tw_812,驅逐魔杖
tw_813,"強化 自我加速藥水"
tw_814,"強化 綠色藥水"
tw_815,濃縮體力恢復藥劑
tw_816,濃縮紅藥水
tw_817,濃縮強力體力恢復劑
tw_818,濃縮橙藥水
tw_819,濃縮終極體力恢復劑
tw_820,濃縮白藥水
tw_821,古代治癒藥劑
tw_822,古代紅色藥水
tw_823,古代強力治癒藥劑
tw_824,古代橙色藥水
tw_825,古代終極治癒藥劑
tw_826,古代白色藥水
tw_827,失明藥水
tw_828,黑色藥水
tw_829,"萬能藥(力量)"
tw_830,"萬能藥(體質)"
tw_831,"萬能藥(敏捷)"
tw_832,"萬能藥(智力)"
tw_833,"萬能藥(精神)"
tw_834,"萬能藥(毅力)"
tw_835,紅酒
tw_836,威士忌
tw_837,精神藥水
tw_838,鑽石
tw_839,紅寶石
tw_840,藍寶石
tw_841,綠寶石
tw_842,品質鑽石
tw_843,品質紅寶石
tw_844,品質藍寶石
tw_845,品質綠寶石
tw_846,高品質鑽石
tw_847,高品質紅寶石
tw_848,高品質藍寶石
tw_849,高品質綠寶石
tw_850,肉
tw_851,魔眼之肉
tw_852,蛋
tw_853,胡蘿蔔
tw_854,檸檬
tw_855,香蕉
tw_856,蘋果
tw_857,橘子
tw_858,防具強化卷軸
tw_859,防具毀滅卷軸
tw_860,回村傳送卷軸
tw_861,集體傳送卷軸
tw_862,武器強化卷軸
tw_863,變形卷軸
tw_864,復活卷軸
tw_865,新手回村傳送卷軸
tw_866,新手解除裝備詛咒卷軸
tw_867,新手鑑定卷軸
tw_868,新手隨機傳送卷軸
tw_869,隨機傳送卷軸
tw_870,解除裝備詛咒卷軸
tw_871,鑑定卷軸
tw_872,戈崙之心
tw_873,金鑰匙
tw_874,德雷克之心
tw_875,鉑金幣
tw_876,酒店鑰匙
tw_877,銀鑰匙
tw_878,項圈
tw_879,磨刀石
tw_880,魔法寶石
tw_881,精靈玉
tw_882,斯科特之鱗
tw_883,斯科特之爪
tw_884,斯科特之眼
tw_885,斯科特之血
tw_886,斯科特之肉
tw_887,斯科特之心
tw_888,斯科特之骨
tw_889,斯科特之牙
tw_890,火龍鱗
tw_891,風龍鱗
tw_892,水龍鱗
tw_893,土龍鱗
tw_894,皮革
tw_895,高級皮革
tw_896,金屬塊
tw_897,黑暗蜘蛛絲
tw_898,狼皮
tw_899,白金金屬板
tw_900,白金
tw_901,白金原石
tw_902,史萊姆的胃液
tw_903,黑色秘銀
tw_904,黑色秘銀原石
tw_905,黑色秘銀金屬板
tw_906,藍色布料
tw_907,紅色布料
tw_908,白色布料
tw_909,鱗片
tw_910,蠍子之皮
tw_911,銀
tw_912,銀原石
tw_913,銀金屬板
tw_914,原石碎片
tw_915,精靈碎片
tw_916,地獄犬之皮
tw_917,黃金金屬板
tw_918,黃金
tw_919,黃金原石
tw_920,獅鷲之羽毛
tw_921,秘銀線
tw_922,秘銀塊
tw_923,秘銀金屬板
tw_924,線
tw_925,奧鋼
tw_926,奧鋼金屬板
tw_927,食人魔的血
tw_928,元素石
tw_929,精靈粉末
tw_930,精靈羽翼
tw_931,薄金屬板
tw_932,黑鑰匙
tw_933,紅鑰匙
tw_934,古代之箭
tw_935,箭
tw_936,銀箭
tw_937,黃金箭
tw_938,秘銀箭
tw_939,黑色秘銀箭
tw_940,奧鋼箭
tw_941,鋼鐵塊
tw_942,鋼鐵原石
tw_943,石頭
tw_944,溶解劑
tw_945,麵粉
tw_946,番茄
tw_947,聖水
tw_948,火屬性強化卷軸
tw_949,土屬性強化卷軸
tw_950,水屬性強化卷軸
tw_951,風屬性強化卷軸
tw_952,返生藥水
tw_953,信紙
tw_954,飾品強化卷軸
tw_955,鐵血徽章
tw_956,珍稀金屬
tw_957,虛空金屬
tw_958,亡靈骨頭
tw_959,破碎皮革(X)
tw_960,破碎皮革(Y)
tw_961,骷髏法師的骨髓
tw_962,淨化的靈魂晶石
tw_963,石頭戈崙之心
tw_964,污穢的靈魂晶石
tw_965,應許之島地監地圖
tw_966,古老隧道的信息
tw_967,力量精華
tw_968,污濁的靈魂晶石
tw_969,死亡騎士的亡靈碎骨
tw_970,虛空之石
tw_971,螳螂人的蠱惑之心
tw_972,人狼的巨牙
tw_973,食屍鬼的屍油
tw_974,食腐魔的不死肉
tw_975,裝有骷髏骨頭的貨箱
tw_976,糧食
tw_977,石盒
tw_978,古代鉑金幣
tw_979,誓約書
tw_980,治癒藥水(綁定)
tw_981,解毒藥水(綁定)
tw_982,強力治癒藥水(綁定)
tw_983,自我加速藥水(綁定)
tw_984,回村傳送卷軸(綁定)
tw_985,隨機傳送卷軸(綁定)
tw_986,解除裝備詛咒卷軸(綁定)
tw_987,鑑定卷軸(綁定)
tw_988,磨刀石(綁定)
tw_989,武器強化卷軸(綁定)
tw_990,防具強化卷軸(綁定)
tw_991,地獄木之匙
tw_992,黑血之匙
tw_993,高級變形卷軸
tw_994,終極變形卷軸
tw_995,智者之禮
