de_0,"$0 "
de_398,Magier
de_399,Elf
de_400,Prinzessin
de_401,Ritter
de_402,Magier
de_403,Elf
de_404,Rechtsmäßig
de_405,Chaotisch
de_406,Neutral
de_407,NULL
de_408,NULL
de_409,NULL
de_410,NULL
de_411,NULL
de_412,NULL
de_413,NULL
de_414,NULL
de_415,NULL
de_416,NULL
de_417,NULL
de_418,NULL
de_419,NULL
de_420,NULL
de_421,NULL
de_422,NULL
de_423,NULL
de_424,NULL
de_425,NULL
de_426,NULL
de_427,NULL
de_428,NULL
de_429,NULL
de_430,NULL
de_431,NULL
de_432,NULL
de_433,NULL
de_434,NULL
de_435,NULL
de_436,NULL
de_437,Theodore[Markt]
de_438,Himmel[Clan-Manager]
de_439,Nat
de_440,Roger[Verzaubern]
de_441,"Ereignis-Händler[Nur für begrenzte Zeit]"
de_442,"Ereignis-Agent[Nur für begrenzte Zeit]"
de_443,"Böser Mörder"
de_444,"Böser Wächter"
de_445,"Böser Inquisitor"
de_446,Alchemist
de_447,Tiago
de_448,Händler
de_449,Werwolf-Anwärter
de_450,Zwergenanwärter
de_451,Ork-Anwärter
de_452,Ork-Kämpfer-Anwärter
de_453,Kobold-Anwärter
de_454,Goblin-Anwärter
de_455,Hobgoblin-Anwärter
de_456,Zwergenkämpfer-Anwärter
de_457,Havel[Verzaubern]
de_458,Swain
de_459,Reisender
de_460,"Meister bewerten"
de_461,"Schrat (Dunkelheit)"
de_462,"Thri Kreen (Dunkelheit)"
de_463,"Keberos (Dunkelheit)"
de_464,"Steingolem (Dunkelheit)"
de_465,"Skelett (Dunkelheit)"
de_466,"Skelett-Bogenschütze (Dunkelheit)"
de_467,"Skelett-Axtschwinger (Dunkelheit)"
de_468,"Skelett-Speer (Dunkelheit)"
de_469,"Nachtschatten (Dunkelheit)"
de_470,"Ghul (Dunkelheit)"
de_471,"Ungoliant (Dunkelheit)"
de_472,"Zombie (Dunkelheit)"
de_473,Jax[Herstellen]
de_474,"Der Zeitlose"
de_475,"Schatztruhe(Glücklich)"
de_476,NULL
de_477,NULL
de_478,Schatztruhe
de_479,"Diener von Teon[Eid]"
de_480,"Teons Geschenk (1. Tag)"
de_481,"Teons Geschenk (5. Tag)"
de_482,"Teons Geschenk (30. Tag)"
de_483,"Teons Geschenk"
de_484,"Teons Geschenk (7. Tag)"
de_485,"Diener von Maria"
de_486,"Der Gefallene Torwächter"
de_487,"Maria, Dienerin des Todes [übertragen]"""
de_488,Clive[Clan-Lager]
de_489,"Pan [Schäfer]"
de_490,"Verdorrter Holzgeist"
de_491,"Segen der Mondgöttin [Erteilung]"
de_492,"Sylvia [Material]"
de_493,"Süßes-oder-Saures Tom"
de_494,"Kenny Candiless"
de_495,"Kleines Horn"
de_496,Feiertagsbote
de_497,"Alter Schamane"
de_498,"Schiffbrüchiger Pirat [Schatz]"
de_499,"Ring der Güte"
de_500,"Erweiterte Zauberjuwel"
de_501,Schutzrolle
de_502,"Heiliges Buch"
de_503,Kupferschlüssel
de_504,Holzschlüssel
de_505,Zauberbuch
de_506,Rolle
de_507,"Trank der Weisheit"
de_508,Tapferkeitstrank
de_509,Rinde
de_510,"Ast des Lebens"
de_511,Feder
de_512,Flöte
de_513,Knochenfragmente
de_514,Kristall
de_515,Puder
de_516,Bouquet
de_517,Schnelltrank
de_518,NULL
de_519,"Geringer Heiltrank"
de_520,NULL
de_521,"Trank für Mana-Erholung"
de_522,NULL
de_523,Gegengifttrank
de_524,Smaragd-Trank
de_525,"Großer Heiltrank"
de_526,NULL
de_527,Heiltrank
de_528,"Oranger Trank"
de_529,Kürbis
de_530,Mais
de_531,Gold
de_532,Elfenwaffel
de_533,"Rolle der Rückkehr - Stadt der Insel der Verheißung"
de_534,"Rolle der Rückkehr - Stadt der Insel der Verheißung 1F"
de_535,"Rolle der Rückkehr - Stadt der Insel der Verheißung 2F"
de_536,"Rolle der Rückkehr - Alter Fluchtunnel"
de_537,"Rolle der Rückkehr - Maros-Verlies 1F"
de_538,"Rolle der Rückkehr - Maros-Verlies 2F"
de_539,"Rolle der Rückkehr - Maros-Verlies 3F"
de_540,"Rolle der Rückkehr - Maros-Verlies 4F"
de_541,"Rolle der Rückkehr - Maros-Verlies 5F"
de_542,"Rolle der Rückkehr - Maros-Verlies 6F"
de_543,"Rolle der Rückkehr - Maros-Verlies 7F"
de_544,NULL
de_545,"Rolle der Rückkehr - Verlies der Burg von Sandwood 1F"
de_546,"Rolle der Rückkehr - Verlies der Burg von Sandwood 2F"
de_547,"Rolle der Rückkehr - Damelot"
de_548,"Rolle der Rückkehr - Damelot-Verlies 1F"
de_549,"Rolle der Rückkehr - Damelot-Verlies 2F"
de_550,"Rolle der Rückkehr - Damelot-Verlies 3F"
de_551,"Rolle der Rückkehr - Damelot-Verlies 4F"
de_552,"Rolle der Rückkehr - Sandwood-Stadt"
de_553,"Rolle der Rückkehr - Wüstenoase"
de_554,"Rolle der Rückkehr - Maros-Stadt"
de_555,"Rolle der Rückkehr - Ork-Stadt"
de_556,"Rolle der Rückkehr - Ork-Gilde"
de_557,"Rolle der Rückkehr - Burg von Sandwood"
de_558,"Rolle der Rückkehr - Innenstadt von Sandwood"
de_559,"Rolle der Rückkehr - Elfengarten"
de_560,"Rolle der Rückkehr - Elfenverlies 1F"
de_561,"Rolle der Rückkehr - Elfenverlies 2F"
de_562,"Rolle der Rückkehr - Elfenverlies 3F"
de_563,"Rolle der Rückkehr - Drake-Bergverlies 1F"
de_564,"Rolle der Rückkehr - Drake-Bergverlies 2F"
de_565,"Rolle der Rückkehr - Drake-Bergverlies 3F"
de_566,"Rolle der Rückkehr - Drake-Bergverlies 4F"
de_567,"Rolle der Rückkehr - Drake-Bergverlies 5F"
de_568,"Rolle der Rückkehr - Drake-Bergverlies 6F"
de_569,"Rolle der Rückkehr - Drake-Bergverlies 7F"
de_570,NULL
de_571,"Rolle der Rückkehr - Höhle der Wüstenameisen 1-1"
de_572,"Rolle der Rückkehr - Höhle der Wüstenameisen 1-2"
de_573,"Rolle der Rückkehr - Höhle der Wüstenameisen 1-3"
de_574,"Rolle der Rückkehr - Höhle der Wüstenameisen 1-4"
de_575,"Rolle der Rückkehr - Höhle der Wüstenameisen 1-5"
de_576,"Rolle der Rückkehr - Höhle der Wüstenameisen 1-6"
de_577,"Rolle der Rückkehr - Höhle der Wüstenameisen 2-1"
de_578,"Rolle der Rückkehr - Höhle der Wüstenameisen 2-2"
de_579,"Rolle der Rückkehr - Höhle der Wüstenameisen 2-3"
de_580,"Rolle der Rückkehr - Höhle der Wüstenameisen 3"
de_581,"Rolle der Rückkehr - Nester der Königin der Wüstenameisen"
de_582,"Spezial-Geist-Kristall (Wasser)"
de_583,"Spezial-Geist-Kristall (Feuer)"
de_584,"Spezial-Geist-Kristall (Wind)"
de_585,"Spezial-Geist-Kristall (Erde)"
de_586,"Allgemeine Rolle"
de_587,Karte
de_588,Fährticket
de_589,NULL
de_590,NULL
de_591,NULL
de_592,NULL
de_593,Todestrank
de_594,NULL
de_595,NULL
de_596,NULL
de_597,NULL
de_598,NULL
de_599,NULL
de_600,NULL
de_601,NULL
de_602,NULL
de_603,NULL
de_604,NULL
de_605,NULL
de_606,NULL
de_607,NULL
de_608,NULL
de_609,NULL
de_610,NULL
de_611,NULL
de_612,Anfängerrolle
de_613,"Rolle der Rückkehr - Oxvale-Verlies"
de_614,Beruhigungstrank
de_615,"Hauer des Geschwächten Werwolfs"
de_616,"Fragment des Zeitkristalls"
de_617,"Feder des Geschwächten Harpyie"
de_618,"Futter des Geschwächten Eulenbären"
de_619,"Anfänger Heiltrank"
de_620,"Anfänger Oranger Trank"
de_621,Vanillekekse
de_622,"Anfänger Geringer Heiltrank"
de_623,NULL
de_624,"Anfänger Schnelltrank"
de_625,NULL
de_626,"Rolle der Rückkehr - [Edin-Monument]"
de_627,"Justinas Container"
de_628,Feuerefeu
de_629,"Zerbrochene Klinge"
de_630,"Seelenkristall (Zombie)"
de_631,"Seelenkristall (Schwebendes Auge)"
de_632,Ghulblut
de_633,Wolfspelz
de_634,Zeitkristall
de_635,"Leahs Rüstungslager"
de_636,"Leahs Heiltrank"
de_637,"Hunters Leder"
de_638,Zauberbuch
de_639,Anfänger
de_640,"Diener des Todesritters"
de_641,"Polymorphrolle (Anfänger)"
de_642,"Schild (Magisch)"
de_643,Energieriegel
de_644,Eisdolch
de_645,"Geringe Heilung"
de_646,Teleport
de_647,Licht
de_648,"Heilige Waffe"
de_649,Wind-Shuriken
de_650,Höllenhauer
de_651,"Kalte Berührung"
de_652,"Verzauberte Waffe"
de_653,"Fluch: Gift"
de_654,Feuerpfeil
de_655,Erkennung
de_656,Heiltrank
de_657,"Gewicht verringern"
de_658,Heilen
de_659,"Einfrierende Wolke"
de_660,Blitzschlag
de_661,"Schwäche offenbaren"
de_662,"Untot werden"
de_663,"Gesegnete Rüstung"
de_664,"Fluch: Blind"
de_665,Meditation
de_666,Vampirberührung
de_667,Waffenpause
de_668,Erdgefängnis
de_669,Feuerball
de_670,Langsam
de_671,"Physisch verzaubert: DEX"
de_672,Gegenzauber
de_673,Kältezapfen
de_674,"Fluch: Lähmen"
de_675,"Blitzschlag rufen"
de_676,"Fluch entfernen"
de_677,"Zahmes Monster"
de_678,"Größere Heilung"
de_679,"Mana entziehen"
de_680,Dunkelheit
de_681,Eile
de_682,Ausbruch
de_683,Schwäche
de_684,Sonnenschein
de_685,"Waffe segnen"
de_686,"Zombie erstellen"
de_687,"Physisch verzaubert: STR"
de_688,"Magie abbrechen"
de_689,Einfrieren
de_690,"Monster beschwören"
de_691,"Größere Eile"
de_692,Berserker
de_693,Krankheit
de_694,"Heiliger Weg"
de_695,Heilversprechen
de_696,Tornado
de_697,"Magische Mine"
de_698,"Volle Heilung"
de_699,Schneesturm
de_700,Lebensstrom
de_701,Feuerwand
de_702,Auferstehung
de_703,Unsichtbarkeit
de_704,Erdbeben
de_705,Ruhe
de_706,Gegenerkennung
de_707,"Nebel des Schlafes"
de_708,Feuersturm
de_709,"Magisches Schild"
de_710,Fäulnistrank
de_711,Formänderung
de_712,Massenteleport
de_713,Gewitter
de_714,Kraftfeld
de_715,Innensicht
de_716,Eisstachel
de_717,"Magische Waffe erstellen"
de_718,Meteoreinschlag
de_719,Zerstören
de_720,"Größere Auferstehung"
de_721,"Absolute Barriere"
de_722,"Massen langsam"
de_723,"Erweiterter Geist"
de_724,"Position ändern"
de_725,"Erweiterter Massenteleport"
de_726,"Alle lähmen"
de_727,Reflexionsbecken
de_728,NULL
de_729,NULL
de_730,NULL
de_731,NULL
de_732,NULL
de_733,NULL
de_734,NULL
de_735,NULL
de_736,NULL
de_737,NULL
de_738,NULL
de_739,NULL
de_740,"Teleport zur Mutter"
de_741,"Körper an Geist"
de_742,"Magie widerstehen"
de_743,"Element widerstehen"
de_744,"Klarer Verstand"
de_745,Dreifachpfeil
de_746,"Schutz gegen Elemente"
de_747,Verwickeln
de_748,Erdhülle
de_749,Wasserleben
de_750,Feuerwaffe
de_751,"Zurück zur Natur"
de_752,Windweg
de_753,Windschuß
de_754,"Blut an Seele"
de_755,"Geringere Elemente beschwören"
de_756,Erdbindung
de_757,Erdwächter
de_758,Elementfall
de_759,"Auge des Sturms"
de_760,Wasserschutz
de_761,"Tanzende Feuersbrunst"
de_762,"Berührung der Natur"
de_763,"Zauber entfernen"
de_764,"Größere Element beschwören"
de_765,"Bereich des Schweigens"
de_766,"Elementares Feuer"
de_767,Sturmweg
de_768,Sturmschuss
de_769,"Wasser verschmutzen"
de_770,"Brennende Waffe"
de_771,"Seele der Flamme"
de_772,"Wunder der Natur"
de_773,"Segen der Natur"
de_774,Sturm
de_775,"Zusätzliches Feuer"
de_776,Eisenhaut
de_777,Gegenspiegel
de_778,Windschäkel
de_779,"Exotisch Vitalisieren"
de_780,"Solide Beförderung"
de_781,Reduzierungsrüstung
de_782,Gegenbarriere
de_783,Schockbetäubung
de_784,Schwungangriff
de_785,"Wahres Ziel"
de_786,"Clan rufen"
de_787,"Glühende Aura"
de_788,"Clan erlernen"
de_789,"Mutige Aura"
de_790,"Schimmernde Aura"
de_791,NULL
de_792,"Blitzelement"
de_793,"Feuerelement"
de_794,"Wasserelement"
de_795,"Erdelement"
de_796,"Windelement"
de_797,"Mondkuchen (Bohnenpaste)"
de_798,"Mondkuchen (Duftblüten)"
de_799,"Mondkuchen (Lotus)"
de_800,"Mondkuchen (Doppelei)"
de_801,Lampe
de_802,Laternen
de_803,Kerosin
de_804,Zauberlaternen
de_805,Kerzen
de_806,"Zauberstab des Zaubermonsters"
de_807,"Zauberstab aus Kiefernholz"
de_808,"Zauberstab des Gewitters"
de_809,"Zauberstab aus Elfenbein"
de_810,"Zauberstab des Polymorph"
de_811,"Zauberstab aus Ahorn"
de_812,"Zauberstab der Vertreibung"
de_813,"Größere Eile (Trank)"
de_814,NULL
de_815,"Kondensierter geringer Heiltrank"
de_816,"Kondensierter Heiltrank"
de_817,"Größerer kondensierter Heiltrank"
de_818,"Kondensierter Oranger Trank"
de_819,"Größerer kondensierter Heiltrank"
de_820,"Kondensierter Weißer Trank"
de_821,"Antiker Geringerer Heiltrank"
de_822,NULL
de_823,"Antiker Heiltrank"
de_824,NULL
de_825,"Antiker größerer Heiltrank"
de_826,NULL
de_827,"Trank der Erblindung"
de_828,"Schwarzer Trank"
de_829,Elixier(STR)
de_830,Elixir(CON)
de_831,Elixier(DEX)
de_832,Elixir(INT)
de_833,Elixier(WIS)
de_834,Elixier(CHA)
de_835,Wein
de_836,Whiskey
de_837,"Trank der Geistesschärfe"
de_838,Diamant
de_839,Rubin
de_840,Saphir
de_841,Smaragd
de_842,"Hochwertiger Diamant"
de_843,"Hochwertiger Rubin"
de_844,"Hochwertiger Saphir"
de_845,"Hochwertiger Smaragd"
de_846,"Diamant höchster Qualität"
de_847,"Rubin höchster Qualität"
de_848,"Saphir höchster Qualität"
de_849,"Smaragd höchster Qualität"
de_850,Fleisch
de_851,"Fleisch des Schwebenden Auges"
de_852,Ei
de_853,Karotte
de_854,Zitrone
de_855,Banane
de_856,Apfel
de_857,Orange
de_858,"Rolle der Verzaubernden Rüstung"
de_859,"Rolle der zerstörten Rüstung"
de_860,"Rolle der Flucht"
de_861,"Rolle des Massenteleports"
de_862,"Rolle der Verzaubernden Waffe"
de_863,Polymorphrolle
de_864,"Rolle der Auferstehung"
de_865,"Anfänger Rolle der Flucht"
de_866,"Anfänger Rolle der Flucherlösung"
de_867,"Anfänger Rolle der Identität"
de_868,"Anfänger Rolle der Teleportation"
de_869,"Rolle der Teleportation"
de_870,"Rolle der Flucherlösung"
de_871,"Rolle der Identität"
de_872,Golemherz
de_873,Goldschlüssel
de_874,Drake-Herz
de_875,Platin
de_876,Zimmerschlüssel
de_877,Silberschlüssel
de_878,"Halsband für Haustier"
de_879,Schleifstein
de_880,Zauberjuwel
de_881,Geistjuwel
de_882,"Schuppe der Scatha"
de_883,"Klaue der Scatha"
de_884,"Auge der Scatha"
de_885,"Blut der Scatha"
de_886,"Fleisch der Scatha"
de_887,"Herz der Scatha"
de_888,"Knochen der Scatha"
de_889,"Zahn der Scatha"
de_890,"Schuppe des Feuerdrachen"
de_891,"Schuppe des Winddrachen"
de_892,"Schuppe des Wasserdrachen"
de_893,"Schuppe des Erddrachen"
de_894,Leder
de_895,"Hartes Leder"
de_896,"Klumpen Eisen"
de_897,"Netz des Lolth"
de_898,Wolfspelz
de_899,Platinplatte
de_900,Platin
de_901,"Raues Platinstück"
de_902,Schleimsaft
de_903,"Dunkles Mithril"
de_904,"Klumpen von rauem dunklem Mithril"
de_905,"Platte aus dunklem Mithril"
de_906,"Blauer Stoff"
de_907,"Roter Stoff"
de_908,"Weißer Stoff"
de_909,Schuppe
de_910,Skorpionshülle
de_911,"Klumpen Silber"
de_912,"Stück Silber"
de_913,Tafelsilber
de_914,"Teil der Seele"
de_915,"Fragment des Geistes"
de_916,Kerberosfell
de_917,Goldplatte
de_918,"Klumpen Gold"
de_919,"Stück Gold"
de_920,Greiffeder
de_921,Mithril-Faden
de_922,"Klumpen Mithril"
de_923,Mithril-Platte
de_924,Faden
de_925,Orichalcum
de_926,Orichalcum-Platte
de_927,Ogerblut
de_928,"Elemente des Steins"
de_929,Feenstaub
de_930,"Ala der Fee"
de_931,"Dünne Platte"
de_932,"Schwarze Schlüssel"
de_933,"Roter Schlüssel"
de_934,"Antiker Pfeil"
de_935,Pfeil
de_936,Silberpfeil
de_937,Goldpfeil
de_938,Mithril-Pfeil
de_939,"Pfeil aus Dunklem Mithril"
de_940,Orichalcum-Pfeil
de_941,Stahlblock
de_942,"Klumpen rauen Eisens"
de_943,Steine
de_944,Lösemittel
de_945,Mehl
de_946,Tomate
de_947,"Heiliges Wasser"
de_948,"Rolle der Verzaubernden Waffe: Feuer"
de_949,"Rolle der Verzaubernden Waffe: Erde"
de_950,"Rolle der Verzaubernden Waffe: Wasser"
de_951,"Rolle der Verzaubernden Waffe: Wind"
de_952,"Trank der Wiedergeburt"
de_953,Brief
de_954,"Rolle des Verzaubernden Zubehörs"
de_955,Eisenblut-Abzeichen
de_956,"Seltene Platte"
de_957,"Leere Platte"
de_958,"Knochen des Untoten"
de_959,"Zerstörtes Leder(X)"
de_960,"Zerstörtes Leder(Y)"
de_961,"Knochenmark des Skelettmagiers"
de_962,"Gereinigtes Seelenkristall"
de_963,"Herz des Steingolems"
de_964,"Schmutziges Seelenkristall"
de_965,"Karte für Verlies der Insel der Verheißung"
de_966,"Nachricht vom Alten Fluchttunnel"
de_967,Todesritter-Kraftessenz
de_968,"Schmutziges Seelenkristall"
de_969,"Untote Knochen des Todesritters"
de_970,"Leerer Stein"
de_971,"Thri Kreen Herzen"
de_972,Werwolfhauer
de_973,Ghulöl
de_974,Ghast-Fleisch
de_975,"Container der Knochenfragmente"
de_976,Nahrungsmittelversorgungspakete
de_977,Steinbox
de_978,"Antike Platin-Münze"
de_979,"Geschriebener Eid"
de_980,"Geringer Heiltrank (gebunden)"
de_981,"Gegengifttrank (gebunden)"
de_982,"Geringer Heiltrank (gebunden)"
de_983,"Schnelltrank (gebunden)"
de_984,"Rolle der Flucht (gebunden)"
de_985,"Rolle der Teleportation (gebunden)"
de_986,"Rolle der Flucherlösung (gebunden)"
de_987,"Rolle der Identität (gebunden)"
de_988,"Schleifstein (gebunden)"
de_989,"Rolle der Verzaubernden Waffe (gebunden)"
de_990,"Rolle der Verzaubernden Rüstung (gebunden)"
de_991,Höllenholzschlüssel
de_992,"Schwarzer Blutschlüssel"
de_993,"Erweiterte Rolle der Deformation"
de_994,"Ultimative Rolle der Deformation"
de_995,"Geschenk des Weisen"
de_996,"Teons Geschenk (60. Tag)"
de_997,武器高級強化保護卷軸
de_998,NULL
de_999,NULL
de_1000,Ork-Dolch
de_1001,Würfeldolch
de_1002,"Körper des Kurzschwerts"
de_1003,Dolch
de_1004,Elfen-Dolch
de_1005,Anfängerdolch
de_1006,Mithril-Dolch
de_1007,Orichalcum-Dolch
de_1008,"Verfluchtes Schwert von Bran"
de_1009,"Körper des Langschwerts"
de_1010,"Körper des Orichalcum-Schwertes"
de_1011,Ork-Kurzschwert
de_1012,Panzerbrecher
de_1013,Breitschwert
de_1014,Kurzschwert
de_1015,Silberschwert
de_1016,Zwergen-Kurzschwert
de_1017,Krummsäbel
de_1018,Elfen-Kurzschwert
de_1019,"Langes Silberschwert"
de_1020,"Schwert des Roten Ritters"
de_1021,Breitschwert
de_1022,"Schwert der Dunklen Ritter"
de_1023,"Einhändiges Anfängerschwert"
de_1024,Damaskusschwert
de_1025,"Dolch der Dunklen Ritter"
de_1026,Katana
de_1027,Degen
de_1028,Shamshir
de_1029,"Zweihändiges Anfängerschwert"
de_1030,Zweihänder
de_1031,"Schwert von Bran"
de_1032,Tsurugi
de_1033,"Feuerschwert des Todesritters"
de_1034,"Klinge des Verderbens"
de_1035,Großschwert
