it_0,"$0 "
it_222,Coniglio
it_223,"Pascal[Bottega di armi]"
it_224,"Rhoda"
it_225,"Somalo[Bottega di oggetti]"
it_226,Ramla
it_227,Ariete
it_228,"Rabia[Bottega di armature]"
it_229,Pecora
it_230,"Somalo[Bottega di oggetti]"
it_231,Sadie
it_232,Thurston
it_233,Themis
it_234,Uta
it_235,Upton
it_236,"Barcaiolo del porto dell'isola promessa"
it_237,Merlin
it_238,Natalia
it_239,Recluta
it_240,NULL
it_241,NULL
it_242,Elbereth
it_243,NULL
it_244,NULL
it_245,NULL
it_246,"Arpia debole"
it_247,NULL
it_248,"Lupo mannaro debole"
it_249,Andrew
it_250,Grazob
it_251,NULL
it_252,Karguk[Magazzino]
it_253,"Piggu[Bottega di armi]"
it_254,"Agrob[Bottega di armature]"
it_255,"Lazgar[Bottega di oggetti]"
it_256,Lana
it_257,Laucian
it_258,Owen
it_259,"Scorpione debole"
it_260,NULL
it_261,NULL
it_262,NULL
it_263,"Orsogufo debole"
it_264,Shadbak
it_265,"Folletto debole"
it_266,NULL
it_267,"Troglodita debole"
it_268,NULL
it_269,NULL
it_270,NULL
it_271,NULL
it_272,"Thri Kreen debole"
it_273,NULL
it_274,NULL
it_275,NULL
it_276,NULL
it_277,NULL
it_278,NULL
it_279,NULL
it_280,NULL
it_281,Edith
it_282,Gus
it_283,Percy
it_284,Gwen
it_285,Hoover
it_286,Irvin
it_287,Inez
it_288,"Dura[Bottega di pozioni]"
it_289,Lum
it_290,Yatur
it_291,NULL
it_292,NULL
it_293,NULL
it_294,"Ungoliante debole"
it_295,NULL
it_296,NULL
it_297,NULL
it_298,NULL
it_299,NULL
it_300,NULL
it_301,NULL
it_302,"Hermes[Sotterraneo dell'isola promessa]"
it_303,"Brooks[Bottega di armi]"
it_304,Barcaiolo
it_305,"Justina[Bottega di oggetti]"
it_306,"Leah[Bottega di armature]"
it_307,Andrew[Magazzino]
it_308,"Tolomeo[Specialista di ossa]"
it_309,"Doris[Negozio di sartoria]"
it_310,"Zese[Teletrasportatore del l'Isola del cielo]"
it_311,Gary
it_312,Olivia
it_313,Carlos
it_314,Vicky
it_315,Ambrose
it_316,Brandon
it_317,Rufus
it_318,Falice
it_319,Nelson
it_320,Elsa
it_321,Gia
it_322,Camilla
it_323,Lorelei
it_324,Lohan
it_325,Cal
it_326,Sala
it_327,Wesley
it_328,Gaqe
it_329,Loretta
it_330,Brian
it_331,Nanette
it_332,Calder
it_333,Portia
it_334,Rance
it_335,Karl
it_336,David
it_337,Maris
it_338,Jill
it_339,Hosea
it_340,Gareth
it_341,Shiloh
it_342,Camellia
it_343,Craiq
it_344,Lennon
it_345,Pheadra
it_346,"Garth[Teletrasportatore del picco di Edin]"
it_347,Bettina
it_348,Aaron
it_349,Martin
it_350,Karol[Magazzino]
it_351,Lia
it_352,Valanthe
it_353,Heian
it_354,Antinua
it_355,NULL
it_356,NULL
it_357,Enialis
it_358,Hermes
it_359,Polyrhachis
it_360,Rick
it_361,"Formica di fuoco"
it_362,Termite
it_363,NULL
it_364,Lemure
it_365,"Panda rosso"
it_366,Atub
it_367,Urim
it_368,"Bumph[Bottega di pozioni]"
it_369,"Yotul[Bottega di oggetti]"
it_370,"Mogak[Bottega di armature]"
it_371,Slog
it_372,Epkagut[Magazzino]
it_373,"Jogug[Bottega di armi]"
it_374,Bashuk
it_375,Bor
it_376,Omugug
it_377,Supgugh
it_378,Panda
it_379,Orso
it_380,Armadillo
it_381,"Guardia di Cassandra"
it_382,Avventuriero
it_383,Felix
it_384,Patch
it_385,Magister
it_386,Forza
it_387,Teletrasportatore
it_388,Pangolin
it_389,Warren
it_390,Gordon
it_391,Erik
it_392,Dellas
it_393,Cacciatore
it_394,Gatto
it_395,"Tyson[Specialista di ossa]"
it_396,Principe
it_397,Cavaliere
it_398,Mago
it_399,Elf
it_400,Principessa
it_401,Cavaliere
it_402,Mago
it_403,Elf
it_404,Legittimo
it_405,Caotico
it_406,Neutrale
it_407,NULL
it_408,NULL
it_409,NULL
it_410,NULL
it_411,NULL
it_412,NULL
it_413,NULL
it_414,NULL
it_415,NULL
it_416,NULL
it_417,NULL
it_418,NULL
it_419,NULL
it_420,NULL
it_421,NULL
it_422,NULL
it_423,NULL
it_424,NULL
it_425,NULL
it_426,NULL
it_427,NULL
it_428,NULL
it_429,NULL
it_430,NULL
it_431,NULL
it_432,NULL
it_433,NULL
it_434,NULL
it_435,NULL
it_436,NULL
it_437,Theodore[Mercato]
it_438,"Cielo[Gestore del clan]"
it_439,Nat
it_440,Roger[Incantesimo]
it_441,"Mercante di eventi[solo per un periodo di tempo limitato]"
it_442,"Agente di eventi[solo per un periodo di tempo limitato]"
it_443,"Assassino malvagio"
it_444,"Sorvegliante malvagio"
it_445,"Inquisitore malvagio"
it_446,Alchimista
it_447,Tiago
it_448,Mercante
it_449,"Lupo mannaro impostore"
it_450,"Nano impostore"
it_451,"Orco impostore"
it_452,"Orco lottatore impostore"
it_453,"Coboldo impostore"
it_454,"Goblin impostore"
it_455,"Hobgoblin impostore"
it_456,"Nano lottatore impostore"
it_457,Havel[Incantesimo]
it_458,Contadinotto
it_459,Viaggiatore
it_460,"Maestro della valutazione"
it_461,"Bugbear dell'oscurità"
it_462,"Thri Kreen dell'oscurità"
it_463,"Cerbero dell'oscurità"
it_464,"Golem di pietra dell'oscurità"
it_465,"Scheletro dell'oscurità"
it_466,"Scheletro arciere dell'oscurità"
it_467,"Scheletro boscaiolo dell'oscurità"
it_468,"Lancia di scheletro dell'oscurità"
it_469,"Ombra notturna dell'oscurità"
it_470,"Ghul dell'oscurità"
it_471,"Ungoliante dell'oscurità"
it_472,"Zombie dell'oscurità"
it_473,Jax[Creatore]
it_474,"Il Senzatempo"
it_475,"Scatola del tesoro (fortunato)"
it_476,NULL
it_477,NULL
it_478,"Scatola di tesori"
it_479,"Servo di Teon[Giuramento]"
it_480,"Regalo di Teon (1 giorno)"
it_481,"Regalo di Teon (5 giorni)"
it_482,"Regalo di Teon (30 giorni)"
it_483,"Dono di Teon"
it_484,"Regalo di Teon (7 giorni)"
it_485,"Servitore di Maria"
it_486,"Il guardiano caduto"
it_487,"Maria, servitrice dei morti [trasferimento]"
it_488,"Clive[Magazzino del clan]"
it_489,"Pan [pastore]"
it_490,"Spirito del bosco appassito"
it_491,"Benedizione della dea della luna [concessione]"
it_492,"Sylvia [Materiale]"
it_493,"Tom Dolcetto Scherzetto"
it_494,"Kenny Candiless"
it_495,"Corno piccolo"
it_496,"Messaggero della festa"
it_497,"Anziano sciamano"
it_498,"Pirata naufrago [Tesoro]"
it_499,"Anello della bontà"
it_500,"Gemma magica avanzata"
it_501,"Pergamena della protezione"
it_502,"Libro sacro"
it_503,"Chiave di rame"
it_504,"Chiave di legno"
it_505,"Libro d'incantesimi"
it_506,Pergamena
it_507,"Pozione di saggezza"
it_508,"Pozione di coraggio"
it_509,Corteccia
it_510,"Ramo di vita"
it_511,Piuma
it_512,Flauto
it_513,"Frammenti d'ossa"
it_514,Cristallo
it_515,Polvere
it_516,Bouquet
it_517,"Pozione di urgenza"
it_518,NULL
it_519,"Pozione curativa inferiore"
it_520,NULL
it_521,"Pozione di recupero di mana"
it_522,NULL
it_523,"Pozione antidoto"
it_524,"Pozione di smeraldo"
it_525,"Pozione curativa superiore"
it_526,NULL
it_527,"Pozione curativa"
it_528,"Pozione arancione"
it_529,Zucca
it_530,Mais
it_531,Oro
it_532,"Sigillo elfico"
it_533,"Pergamena del ritorno - Città dell'isola promessa"
it_534,"Pergamena del ritorno - Sotterraneo dell'isola promessa 1F"
it_535,"Pergamena del ritorno - Sotterraneo dell'isola promessa 2F"
it_536,"Scroll of Return - Vecchio tunnel di fuga"
it_537,"Pergamena del ritorno - Sotterraneo di Maros 1F"
it_538,"Pergamena del ritorno - Sotterraneo di Maros 2F"
it_539,"Pergamena del ritorno - Sotterraneo di Maros 3F"
it_540,"Pergamena del ritorno - Sotterraneo di Maros 4F"
it_541,"Pergamena del ritorno - Sotterraneo di Maros 5F"
it_542,"Pergamena del ritorno - Sotterraneo di Maros 6F"
it_543,"Pergamena del ritorno - Sotterraneo di Maros 7F"
it_544,NULL
it_545,"Pergamena del ritorno - Sotterraneo del castello di Sandwood 1F"
it_546,"Pergamena del ritorno - Sotterraneo del castello di Sandwood 2F"
it_547,"Pergamena del ritorno - Damelot"
it_548,"Pergamena del ritorno - Sotterraneo di Damelot 1F"
it_549,"Pergamena del ritorno - Sotterraneo di Damelot 2F"
it_550,"Pergamena del ritorno - Sotterraneo di Damelot 3F"
it_551,"Pergamena del ritorno - Sotterraneo di Damelot 4F"
it_552,"Pergamena del ritorno - Città di Sandwood"
it_553,"Pergamena del ritorno - Oasi del deserto"
it_554,"Pergamena del ritorno - Città di Maros"
it_555,"Pergamena del ritorno - Città degli orchi"
it_556,"Pergamena del ritorno - Gilda degli orchi"
it_557,"Pergamena del ritorno - Castello di Sandwood"
it_558,"Pergamena del ritorno - Centro di Sandwood"
it_559,"Pergamena del ritorno - Giardino elfico"
it_560,"Pergamena del ritorno - Sotterraneo elfico 1F"
it_561,"Pergamena del ritorno - Sotterraneo elfico 2F"
it_562,"Pergamena del ritorno - Sotterraneo elfico 3F"
it_563,"Pergamena del ritorno - Sotterraneo della Montagna di Drake 1F"
it_564,"Pergamena del ritorno - Sotterraneo della Montagna di Drake 2F"
it_565,"Pergamena del ritorno - Sotterraneo della Montagna di Drake 3F"
it_566,"Pergamena del ritorno - Sotterraneo della Montagna di Drake 4F"
it_567,"Pergamena del ritorno - Sotterraneo della Montagna di Drake 5F"
it_568,"Pergamena del ritorno - Sotterraneo della Montagna di Drake 6F"
it_569,"Pergamena del ritorno - Sotterraneo della Montagna di Drake 7F"
it_570,NULL
it_571,"Pergamena del ritorno - Caverna di formiche del deserto 1-1"
it_572,"Pergamena del ritorno - Caverna di formiche del deserto 1-2"
it_573,"Pergamena del ritorno - Caverna di formiche del deserto 1-3"
it_574,"Pergamena del ritorno - Caverna di formiche del deserto 1-4"
it_575,"Pergamena del ritorno - Caverna di formiche del deserto 1-5"
it_576,"Pergamena del ritorno - Caverna di formiche del deserto 1-6"
it_577,"Pergamena del ritorno - Caverna di formiche del deserto 2-1"
it_578,"Pergamena del ritorno - Caverna di formiche del deserto 2-2"
it_579,"Pergamena del ritorno - Caverna di formiche del deserto 2-3"
it_580,"Pergamena del ritorno - Caverna di formiche del deserto 3"
it_581,"Pergamena del ritorno - Covi della regina delle formiche del deserto"
it_582,"Cristallo speciale dello spirito (acqua)"
it_583,"Cristallo speciale dello spirito (fuoco)"
it_584,"Cristallo speciale dello spirito (vento)"
it_585,"Cristallo speciale dello spirito (terra)"
it_586,"Pergamena generica"
it_587,Mappa
it_588,"Biglietto per traghetto"
it_589,NULL
it_590,NULL
it_591,NULL
it_592,NULL
it_593,"Pozione della morte"
it_594,NULL
it_595,NULL
it_596,NULL
it_597,NULL
it_598,NULL
it_599,NULL
it_600,NULL
it_601,NULL
it_602,NULL
it_603,NULL
it_604,NULL
it_605,NULL
it_606,NULL
it_607,NULL
it_608,NULL
it_609,NULL
it_610,NULL
it_611,NULL
it_612,"Pergamena del novizio"
it_613,"Pergamena del ritorno - Sotterraneo di Oxvale"
it_614,"Pozione calma-entusiasmo"
it_615,"Zanne del lupo mannaro debole"
it_616,"Frammento di cristallo del tempo"
it_617,"Piuma dell'arpia debole"
it_618,"Cibo dell'owlbear debole"
it_619,"Novizio Pozione curativa"
it_620,"Novizio Pozione arancione"
it_621,"Biscotti alla vaniglia"
it_622,"Novizio Pozione curativa inferiore"
it_623,NULL
it_624,"Novizio Pozione di urgenza"
it_625,NULL
it_626,"Pergamena del ritorno - [Monumento di Edin]"
it_627,"Contenitore di Justina"
it_628,"Rampicanti di fuoco"
it_629,"Lama rotta"
it_630,"Cristallo dell'anima dello zombie"
it_631,"Cristallo dell'anima dell'occhio fluttuante"
it_632,"Sangue di ghul"
it_633,"Pelle di lupo"
it_634,"Cristallo del tempo"
it_635,"Magazzino dell'armatura di Leah"
it_636,"Pozione curativa di Leah"
it_637,"Pelle del cacciatore"
it_638,"Libro d'incantesimi"
it_639,Novizio
it_640,"Servitore del cavaliere della morte"
it_641,"Pergamena del polimorfo (Novizio)"
it_642,"Scudo (magico)"
it_643,"Lampo di energia"
it_644,"Pugnale di ghiaccio"
it_645,"Minor guarigione"
it_646,Teletrasporto
it_647,Luce
it_648,"Arma santa"
it_649,"Shuriken del vento"
it_650,"Zanna dell'inferno"
it_651,"Tocco gelato"
it_652,"Arma d'incantesimo"
it_653,"Maledizione: veleno"
it_654,"Freccia di fuoco"
it_655,Scoperta
it_656,"Pozione curativa"
it_657,"Diminuisci il peso"
it_658,Guarigione
it_659,"Nuvola di congelamento"
it_660,Fulmine
it_661,"Rivela debolezza"
it_662,"Diventa morto vivente"
it_663,"Armatura benedetta"
it_664,"Maledizione: cecità"
it_665,Meditazione
it_666,"Tocco del vampiro"
it_667,"Rottura di arma"
it_668,"Prigione terrestre"
it_669,"Palla di fuoco"
it_670,Lento
it_671,"Incantesimo fisico: DES"
it_672,Contromagia
it_673,"Cono del freddo"
it_674,"Maledizione: paralisi"
it_675,"Richiamo dei fulmini"
it_676,"Rimuovi maledizione"
it_677,"Doma mostro"
it_678,"Guarigione superiore"
it_679,"Esaurimento di mana"
it_680,Oscurità
it_681,Urgenza
it_682,Eruzione
it_683,Debolezza
it_684,"Sprazzo di sole"
it_685,"Benedici arma"
it_686,"Crea zombie"
it_687,"Incantesimo fisico: FOR"
it_688,"Annulla la magia"
it_689,Congela
it_690,"Evoca mostro"
it_691,"Maggior urgenza"
it_692,Berserker
it_693,Malattia
it_694,"Cammino santo"
it_695,"Promessa di guarigione"
it_696,Tornado
it_697,"Miniera magica"
it_698,"Guarigione completa"
it_699,"Bufera di neve"
it_700,"Ruscello di vita"
it_701,"Muro di fuoco"
it_702,Resurrezione
it_703,Invisibilità
it_704,Terremoto
it_705,Silenzio
it_706,Controscoperta
it_707,"Coltre di sonno"
it_708,"Tempesta di fuoco"
it_709,"Scudo di protezione"
it_710,"Pozione di decomposizione"
it_711,"Cambio di forma"
it_712,"Teletrasporto di massa"
it_713,"Tempesta di luci"
it_714,"Campo di forza"
it_715,"Vista interiore"
it_716,"Spuntone di ghiaccio"
it_717,"Crea un'arma magica"
it_718,"Colpo meteoritico"
it_719,Distruggi
it_720,"Resurrezione maggiore"
it_721,"Barriera assoluta"
it_722,"Massa lenta"
it_723,"Avanza lo spirito"
it_724,"Cambia posizione"
it_725,"Teletrasporto di massa potenziato"
it_726,"Paralizza tutto"
it_727,"Stagno a specchio"
it_728,NULL
it_729,NULL
it_730,NULL
it_731,NULL
it_732,NULL
it_733,NULL
it_734,NULL
it_735,NULL
it_736,NULL
it_737,NULL
it_738,NULL
it_739,NULL
it_740,"Teletrasporto alla madre"
it_741,"Corpo a mente"
it_742,"Resisti alla magia"
it_743,"Resisti a elementali"
it_744,"Libera la mente"
it_745,"Tripla freccia"
it_746,"Protezione dagli elementali"
it_747,Aggroviglia
it_748,"Pelle terrestre"
it_749,"Vita acquatica"
it_750,"Arma di fuoco"
it_751,"Ritorno alla natura"
it_752,"Cammino del vento"
it_753,"Colpo del vento"
it_754,"Sangue all'anima"
it_755,"Evoca elementale minore"
it_756,"Vincolo terrestre"
it_757,"Guardiano di Eeth"
it_758,"Caduta elementale"
it_759,"Occhio di tempesta"
it_760,"Protezione di acqua"
it_761,"Fiamma danzante"
it_762,"Tocco della natura"
it_763,"Cancella la magia"
it_764,"Evoca elementale maggiore"
it_765,"Area di silenzio"
it_766,"Fuoco elementale"
it_767,"Cammino della tempesta"
it_768,"Colpo di tempesta"
it_769,"Inquina l'acqua"
it_770,"Arma incandescente"
it_771,"Anima della fiamma"
it_772,"Miracolo della natura"
it_773,"Benedizione della natura"
it_774,"Burrasca attaccante"
it_775,"Fuoco aggiuntivo"
it_776,"Pelle di ferro"
it_777,Controspecchio
it_778,"Catena di vento"
it_779,"Vitalità esotica"
it_780,"Carrozza resistente"
it_781,"Armatura di riduzione"
it_782,Controbarriera
it_783,"Gran stordimento"
it_784,"Attacco saltante"
it_785,"Vero obiettivo"
it_786,"Chiama clan"
it_787,"Aura brillante"
it_788,"Impara clan"
it_789,"Aura del coraggio"
it_790,"Aura risplendente"
it_791,NULL
it_792,"Elemento di luce"
it_793,"Elemento di fuoco"
it_794,"Elemento d'acqua"
it_795,"Elemento di terra"
it_796,"Elemento di vento"
it_797,"Torta lunare di pasta di fagioli"
it_798,"Torta lunare di osmanto"
it_799,"Torta lunare di loto"
it_800,"Torta lunare doppio uovo"
it_801,Lampada
it_802,Lanterne
it_803,Cherosene
it_804,"Lanterne magiche"
it_805,Candele
it_806,"Bacchetta magica per evocare il mostro"
it_807,"Bacchetta magica di pino"
it_808,"Bacchetta magica del richiamo dei fulmini"
it_809,"Bacchetta magica di ebano"
it_810,"Bacchetta del polimorfo"
it_811,"Bacchetta d'acero"
it_812,"Bacchetta dell'espulsione"
it_813,"Pozione di maggior urgenza"
it_814,NULL
it_815,"Pozione curativa inferiore condensata"
it_816,"Pozione curativa condensata"
it_817,"Pozione curativa superiore condensata"
it_818,"Pozione arancione condensata"
it_819,"Pozione curativa superiore condensata"
it_820,"Pozione bianca condensata"
it_821,"Pozione curativa inferiore antica"
it_822,NULL
it_823,"Pozione curativa antica"
it_824,NULL
it_825,"Pozione curativa superiore antica"
it_826,NULL
it_827,"Pozione della cecità"
it_828,"Pozione nera"
it_829,Elisir(FOR)
it_830,Elixir(CON)
it_831,Elisir(DES)
it_832,Elixir(INT)
it_833,Elisir(SAG)
it_834,Elisir(CAM)
it_835,Vino
it_836,Whiskey
it_837,"Pozione d'acutezza mentale"
it_838,Diamante
it_839,Rubino
it_840,Zaffiro
it_841,Smeraldo
it_842,"Diamante d'alta qualità"
it_843,"Rubino d'alta qualità"
it_844,"Zaffiro d'alta qualità"
it_845,"Smeraldo d'alta qualità"
it_846,"Diamante della massima qualità"
it_847,"Rubino della massima qualità"
it_848,"Zaffiro della massima qualità"
it_849,"Smeraldo della massima qualità"
it_850,Carne
it_851,"Carne dell'occhio fluttuante"
it_852,Uovo
it_853,Carota
it_854,Limone
it_855,Banana
it_856,Mela
it_857,Arancia
it_858,"Pergamena d'armatura dell'incantesimo"
it_859,"Pergamena d'armatura della distruzione"
it_860,"Pergamena della fuga"
it_861,"Pergamena del teletrasporto di massa"
it_862,"Pergamena d'arma dell'incantesimo"
it_863,"Pergamena del polimorfo"
it_864,"Pergamena della resurrezione"
it_865,"Novizio Pergamena della fuga"
it_866,"Novizio Pergamena d'eliminazione della maledizione"
it_867,"Novizio Pergamena dell'identità"
it_868,"Novizio Pergamena del teletrasporto"
it_869,"Pergamena del teletrasporto"
it_870,"Pergamena d'eliminazione della maledizione"
it_871,"Pergamena dell'identità"
it_872,"Cuore di Golem"
it_873,"Chiave dorata"
it_874,"Cuore di Drake"
it_875,Platino
it_876,"Chiave di stanza della locanda"
it_877,"Chiave d'argento"
it_878,"Collare per animali"
it_879,Cote
it_880,"Gemma magica"
it_881,"Gemma spirito"
it_882,"Squama di Scatha"
it_883,"Artiglio di Scatha"
it_884,"Occhio di Scatha"
it_885,"Sangue di Scatha"
it_886,"Carne di Scatha"
it_887,"Cuore di Scatha"
it_888,"Osso di Scatha"
it_889,"Dente di Scatha"
it_890,"Squama di drago di fuoco"
it_891,"Squama di drago del vento"
it_892,"Squama di drago d'acqua"
it_893,"Squama di drago terrestre"
it_894,Pelle
it_895,"Pelle dura"
it_896,"Blocco di ferro"
it_897,"Ragnatela di Lolth"
it_898,"Pelle di lupo"
it_899,"Lastra di platino"
it_900,Platino
it_901,"Pezzo di platino grezzo"
it_902,"Succo di melma"
it_903,"Mithril scuro"
it_904,"Blocco di mithril grezzo scuro"
it_905,"Lastra di mithril scuro"
it_906,"Panno blu"
it_907,"Panno rosso"
it_908,"Panno bianco"
it_909,Squama
it_910,"Guscio di scorpione"
it_911,"Blocco d'argento"
it_912,"Pezzo d'argento grezzo"
it_913,"Lastra d'argento"
it_914,"Pezzo di anima"
it_915,"Frammento di spirito"
it_916,"Pelliccia di cerbero"
it_917,"Lastra d'oro"
it_918,"Blocco d'oro"
it_919,"Pezzo d'oro grezzo"
it_920,"Piuma di grifone"
it_921,"Filo di mithril"
it_922,"Blocco di mithril"
it_923,"Lastra di mithril"
it_924,Filo
it_925,Oricalco
it_926,"Lastra di oricalco"
it_927,"Sangue del mostro"
it_928,"Elementi di pietra"
it_929,"Polvere di fata"
it_930,"Ala di fata"
it_931,"Lastra sottile"
it_932,"Chiavi nere"
it_933,"Chiave rossa"
it_934,"Antica freccia"
it_935,Freccia
it_936,"Freccia d'argento"
it_937,"Freccia dorata"
it_938,"Freccia di mithril"
it_939,"Freccia di mithril scuro"
it_940,"Freccia di oricalco"
it_941,"Blocco di acciaio"
it_942,"Blocco di ferro grezzo"
it_943,Pietre
it_944,Solvente
it_945,Farina
it_946,Pomodoro
it_947,"Acqua santa"
it_948,"Pergamena d'arma dell'incantesimo: Fuoco"
it_949,"Pergamena d'arma dell'incantesimo: Terra"
it_950,"Pergamena d'arma dell'incantesimo: Acqua"
it_951,"Pergamena d'arma dell'incantesimo: Vento"
it_952,"Pozione della rinascita"
it_953,Lettera
it_954,"Accessorio di pergamena dell'incantesimo"
it_955,"Distintivo rosso-sangue"
it_956,"Lastra rara"
it_957,"Lastra di vuoto"
it_958,"Ossa dei non morti"
it_959,"Pelle distrutta(X)"
it_960,"Pelle distrutta(Y)"
it_961,"Midollo dello scheletro mago"
it_962,"Cristallo dell'anima purificato"
it_963,"Cuore del golem di pietra"
it_964,"Cristallo dell'anima sporco"
it_965,"Mappa del sotterraneo dell'isola promessa"
it_966,"Messaggio del vecchio tunnel di fuga"
it_967,"Essenza del potere de cavaliere oscuro"
it_968,"Cristallo dell'anima sporco"
it_969,"Ossa non morte del cavaliere della morte"
it_970,"Pietra del vuoto"
it_971,"Cuori di Thri Kreen"
it_972,"Zanne del lupo mannaro"
it_973,"Olio di ghul"
it_974,"Carne di ghast"
it_975,"Contenitore di frammenti di ossa"
it_976,"Pacchetti di provviste alimentari"
it_977,"Scatola di pietra"
it_978,"Antica moneta di platino"
it_979,"Giuramento scritto"
it_980,"Pozione curativa inferiore (vincolato)"
it_981,"Pozione antidoto (vincolato)"
it_982,"Pozione curativa inferiore (vincolato)"
it_983,"Pozione di urgenza (vincolato)"
it_984,"Pergamena della fuga (vincolato)"
it_985,"Pergamena del teletrasporto (vincolato)"
it_986,"Pergamena d'eliminazione della maledizione (vincolato)"
it_987,"Pergamena dell'identità (vincolato)"
it_988,"Cote (vincolato)"
it_989,"Pergamena d'arma dell'incantesimo (vincolato)"
it_990,"Pergamena d'armatura dell'incantesimo (vincolato)"
it_991,"Chiave di legno dell'inferno"
it_992,"Chiave di sangue nero"
it_993,"Pergamena della deformazione avanzata"
it_994,"Pergamena della deformazione suprema"
it_995,"Regalo del saggio"
it_996,"Regalo di Teon (60 giorni)"
it_997,"Pergamena della protezione superiore (arma)"
it_998,NULL
it_999,NULL
it_1000,"Pugnale d'orco"
it_1001,"Pugnale dado"
it_1002,"Corpo di spada corta"
it_1003,Pugnale
it_1004,"Pugnale elfico"
it_1005,"Pugnale del novizio"
it_1006,"Pugnale di mithril"
it_1007,"Pugnale di oricalco"
it_1008,"Spada maledetta di Bran"
it_1009,"Corpo di spada lunga"
it_1010,"Corpo di spada d'oricalco"
it_1011,"Spada corta dell'orco"
it_1012,Spacca-cotta
