pt_0,"$0 "
pt_278,NULL
pt_279,NULL
pt_280,NULL
pt_281,Edith
pt_282,Gus
pt_283,Percy
pt_284,Gwen
pt_285,Hoover
pt_286,Irvin
pt_287,Inez
pt_288,"Dura[Loja de Poções]"
pt_289,Lum
pt_290,Yatur
pt_291,NULL
pt_292,NULL
pt_293,NULL
pt_294,"Ungoliant enfraquecido"
pt_295,NULL
pt_296,NULL
pt_297,NULL
pt_298,NULL
pt_299,NULL
pt_300,NULL
pt_301,NULL
pt_302,"Hermes[Masmorra da Ilha Prometida]"
pt_303,"Brooks[Loja de Armas]"
pt_304,Barqueiro
pt_305,"Justina[Loja de Itens]"
pt_306,"Leah[Loja de Armaduras]"
pt_307,Andrew[Armazém]
pt_308,"Ptolomeu[Especialista em Ossos]"
pt_309,"Doris[Loja do Alfaiate]"
pt_310,"Zese[Teleporte do Ilha do Céu]"
pt_311,Gary
pt_312,Olivia
pt_313,Carlos
pt_314,Vicky
pt_315,Ambrósia
pt_316,Brandon
pt_317,Rufus
pt_318,Falice
pt_319,Nelson
pt_320,Elsa
pt_321,Gia
pt_322,Camilla
pt_323,Lorelei
pt_324,Lohan
pt_325,Cal
pt_326,Sala
pt_327,Wesley
pt_328,Gaqe
pt_329,Loretta
pt_330,Brian
pt_331,Nanette
pt_332,Calder
pt_333,Portia
pt_334,Rance
pt_335,Karl
pt_336,David
pt_337,Maris
pt_338,Jill
pt_339,Hosea
pt_340,Gareth
pt_341,Shiloh
pt_342,Camellia
pt_343,Craiq
pt_344,Lennon
pt_345,Fedra
pt_346,"Garth[Teleporte do Pico Edin]"
pt_347,Bettina
pt_348,Aaron
pt_349,Martin
pt_350,Karol[Armazém]
pt_351,Lia
pt_352,Valanthe
pt_353,Heian
pt_354,Antinua
pt_355,NULL
pt_356,NULL
pt_357,Enialis
pt_358,Hermes
pt_359,Polyrhachis
pt_360,Rick
pt_361,"Formiga de Fogo"
pt_362,Cupim
pt_363,NULL
pt_364,Lêmure
pt_365,"Panda Vermelho"
pt_366,Atub
pt_367,Urim
pt_368,"Bumph[Loja de Poções]"
pt_369,"Yotul[Loja de Itens]"
pt_370,"Mogak[Loja de Armaduras]"
pt_371,Slog
pt_372,Epkagut[Armazém]
pt_373,"Jogug[Loja de Armas]"
pt_374,Bashuk
pt_375,Bor
pt_376,Omugug
pt_377,Supgugh
pt_378,Panda
pt_379,Urso
pt_380,Tatu
pt_381,"Guarda de Cassandra"
pt_382,Aventureiro
pt_383,Felix
pt_384,Remendo
pt_385,Mestre
pt_386,Força
pt_387,Teleporte
pt_388,Pangolim
pt_389,Warren
pt_390,Gordon
pt_391,Erik
pt_392,Dellas
pt_393,Caçador
pt_394,Gato
pt_395,"Tyson[Especialista em Ossos]"
pt_396,Príncipe
pt_397,Cavaleiro
pt_398,Mago
pt_399,Elfo
pt_400,Princesa
pt_401,Cavaleiro
pt_402,Mago
pt_403,Elfo
pt_404,Legal
pt_405,Caótico
pt_406,Neutro
pt_407,NULL
pt_408,NULL
pt_409,NULL
pt_410,NULL
pt_411,NULL
pt_412,NULL
pt_413,NULL
pt_414,NULL
pt_415,NULL
pt_416,NULL
pt_417,NULL
pt_418,NULL
pt_419,NULL
pt_420,NULL
pt_421,NULL
pt_422,NULL
pt_423,NULL
pt_424,NULL
pt_425,NULL
pt_426,NULL
pt_427,NULL
pt_428,NULL
pt_429,NULL
pt_430,NULL
pt_431,NULL
pt_432,NULL
pt_433,NULL
pt_434,NULL
pt_435,NULL
pt_436,NULL
pt_437,Theodore[Mercado]
pt_438,"Céu[Administrador do Clã]"
pt_439,Nat
pt_440,Roger[Encantar]
pt_441,"Mercador do Evento[apenas por tempo limitado]"
pt_442,"Agente do Evento[apenas por tempo limitado]"
pt_443,"Matador Maligno"
pt_444,"Observador Maligno"
pt_445,"Inquisidor Maligno"
pt_446,Alquimista
pt_447,Tiago
pt_448,Mercador
pt_449,"Lobisomem Impostor"
pt_450,"Anão Impostor"
pt_451,"Orc Impostor"
pt_452,"Lutador Orc Impostor"
pt_453,"Duende Impostor"
pt_454,"Goblin Impostor"
pt_455,"Hobgoblin Impostor"
pt_456,"Lutador Anão Impostor"
pt_457,Havel[Encantar]
pt_458,Pretendente
pt_459,Viajante
pt_460,"Mestre da Classificação"
pt_461,"Bugbear das Trevas"
pt_462,"Thri Kreen das Trevas"
pt_463,"Cérbero das Trevas"
pt_464,"Golem de Pedra das Trevas"
pt_465,"Esqueleto das Trevas"
pt_466,"Arqueiro Esqueleto das Trevas"
pt_467,"Machadeiro Esqueleto das Trevas"
pt_468,"Lança de Esqueleto das Trevas"
pt_469,"Beladona das Trevas"
pt_470,"Ghoul das Trevas"
pt_471,"Ungoliant das Trevas"
pt_472,"Zumbi das Trevas"
pt_473,Jax[Artesão]
pt_474,"O Eterno"
pt_475,"Caixa do Tesouro (Sorte)"
pt_476,NULL
pt_477,NULL
pt_478,"Caixa do Tesouro"
pt_479,"Servo de Teon[Juramento]"
pt_480,"Presente de Teon(1 dia)"
pt_481,"Presente de Teon(5 dias)"
pt_482,"Presente de Teon(30 dias)"
pt_483,"Presente de Teon"
pt_484,"Presente de Teon(7 dias)"
pt_485,"Servente de Maria"
pt_486,"O Porteiro dos Caídos"
pt_487,"Maria, Servente dos Mortos [transferida]"
pt_488,"Clive[Armazém do Clã]"
pt_489,"Pan [pastor]"
pt_490,"Espírito de Madeira Deformada"
pt_491,"Bênção da Deusa da Lua [Oferenda]"
pt_492,"Sylvia [Material]"
pt_493,"Tom Gostosuras ou Travessuras"
pt_494,"Kenny Candiless"
pt_495,"Corneta pequena"
pt_496,"Mensageiro de Festas"
pt_497,"Xamã Ancião"
pt_498,"Pirata Náufrago [Tesouro]"
pt_499,"Anel de Bondade"
pt_500,"Gema Mágica Avançado"
pt_501,"Pergaminho de Proteção"
pt_502,"Livro Sagrado"
pt_503,"Chave de Cobre"
pt_504,"Chave de Madeira"
pt_505,"Livro de Encantos"
pt_506,Pergaminho
pt_507,"Poção de Sabedoria"
pt_508,"Poção de Bravura"
pt_509,Latido
pt_510,"Galho de Vida"
pt_511,Pena
pt_512,Flauta
pt_513,"Fragmentos de Osso"
pt_514,Cristal
pt_515,Pó
pt_516,Buquê
pt_517,"Poção de Velocidade"
pt_518,NULL
pt_519,"Poção de Cura Inferior"
pt_520,NULL
pt_521,"Poção de Recuperação de Mana"
pt_522,NULL
pt_523,"Poção de Cura de Venenos"
pt_524,"Poção da Esmeralda"
pt_525,"Poção de Cura Superior"
pt_526,NULL
pt_527,"Poção de Cura"
pt_528,"Poção Laranja"
pt_529,Abóbora
pt_530,Milho
pt_531,Ouro
pt_532,"Biscoito de Elfo"
pt_533,"Pergaminho de Retorno - Cidade da Ilha Prometida"
pt_534,"Pergaminho de Retorno - Masmorra da Ilha Prometida 1F"
pt_535,"Pergaminho de Retorno - Masmorra da Ilha Prometida 2F"
pt_536,"Pergaminho de Retorno - Velho Túnel de Fuga"
pt_537,"Pergaminho de Retorno - Masmorra de Maros 1F"
pt_538,"Pergaminho de Retorno - Masmorra de Maros 2F"
pt_539,"Pergaminho de Retorno - Masmorra de Maros 3F"
pt_540,"Pergaminho de Retorno - Masmorra de Maros 4F"
pt_541,"Pergaminho de Retorno - Masmorra de Maros 5F"
pt_542,"Pergaminho de Retorno - Masmorra de Maros 6F"
pt_543,"Pergaminho de Retorno - Masmorra de Maros 7F"
pt_544,NULL
pt_545,"Pergaminho de Retorno - Masmorra do Castelo de Sandwood 1F"
pt_546,"Pergaminho de Retorno - Masmorra do Castelo de Sandwood 2F"
pt_547,"Pergaminho de Retorno - Damelot"
pt_548,"Pergaminho de Retorno - Masmorra de Damelot 1F"
pt_549,"Pergaminho de Retorno - Masmorra de Damelot 2F"
pt_550,"Pergaminho de Retorno - Masmorra de Damelot 3F"
pt_551,"Pergaminho de Retorno - Masmorra de Damelot 4F"
pt_552,"Pergaminho de Retorno - Cidade de Sandwood"
pt_553,"Pergaminho de Retorno - Oásis no Deserto"
pt_554,"Pergaminho de Retorno - Cidade de Maros"
pt_555,"Pergaminho de Retorno - Cidade dos Orc"
pt_556,"Pergaminho de Retorno - Guilda Orc"
pt_557,"Pergaminho de Retorno - Castelo de Sandwood"
pt_558,"Pergaminho de Retorno - Centro da Cidade de Sandwood"
pt_559,"Pergaminho de Retorno - Jardim dos Elfos"
pt_560,"Pergaminho de Retorno - Masmorra de Elfo 1F"
pt_561,"Pergaminho de Retorno - Masmorra de Elfo 2F"
pt_562,"Pergaminho de Retorno - Masmorra de Elfo 3F"
pt_563,"Pergaminho de Retorno - Masmorra da Montanha do Dragão 1F"
pt_564,"Pergaminho de Retorno - Masmorra da Montanha do Dragão 2F"
pt_565,"Pergaminho de Retorno - Masmorra da Montanha do Dragão 3F"
pt_566,"Pergaminho de Retorno - Masmorra da Montanha do Dragão 4F"
pt_567,"Pergaminho de Retorno - Masmorra da Montanha do Dragão 5F"
pt_568,"Pergaminho de Retorno - Masmorra da Montanha do Dragão 6F"
pt_569,"Pergaminho de Retorno - Masmorra da Montanha do Dragão 7F"
pt_570,NULL
pt_571,"Pergaminho de Retorno - Caverna da Formiga do Deserto 1-1"
pt_572,"Pergaminho de Retorno - Caverna da Formiga do Deserto 1-2"
pt_573,"Pergaminho de Retorno - Caverna da Formiga do Deserto 1-3"
pt_574,"Pergaminho de Retorno - Caverna da Formiga do Deserto 1-4"
pt_575,"Pergaminho de Retorno - Caverna da Formiga do Deserto 1-5"
pt_576,"Pergaminho de Retorno - Caverna da Formiga do Deserto 1-6"
pt_577,"Pergaminho de Retorno - Caverna da Formiga do Deserto 2-1"
pt_578,"Pergaminho de Retorno - Caverna da Formiga do Deserto 2-2"
pt_579,"Pergaminho de Retorno - Caverna da Formiga do Deserto 2-3"
pt_580,"Pergaminho de Retorno - Caverna da Formiga do Deserto 3"
pt_581,"Pergaminho de Retorno - Ninhos da Formiga Rainha do Deserto"
pt_582,"Cristal do Espírito Especial (Água)"
pt_583,"Cristal do Espírito Especial (Fogo)"
pt_584,"Cristal do Espírito Especial (Vento)"
pt_585,"Cristal do Espírito Especial (Terra)"
pt_586,"Pergaminho Universal"
pt_587,Mapa
pt_588,"Bilhete da Barca"
pt_589,NULL
pt_590,NULL
pt_591,NULL
pt_592,NULL
pt_593,"Poção da Morte"
pt_594,NULL
pt_595,NULL
pt_596,NULL
pt_597,NULL
pt_598,NULL
pt_599,NULL
pt_600,NULL
pt_601,NULL
pt_602,NULL
pt_603,NULL
pt_604,NULL
pt_605,NULL
pt_606,NULL
pt_607,NULL
pt_608,NULL
pt_609,NULL
pt_610,NULL
pt_611,NULL
pt_612,"Pergaminho de Novato"
pt_613,"Pergaminho de Retorno - Masmorra de Oxvale"
pt_614,"Poção da Tranquilidade"
pt_615,"Caninos de Lobisomem Enfraquecido"
pt_616,"Fragmento de Cristal do Tempo"
pt_617,"Pena de Harpia Enfraquecida"
pt_618,"Comida de Urso Coruja Enfraquecido"
pt_619,"Novato Poção de Cura"
pt_620,"Novato Poção Laranja"
pt_621,"Biscoitos de baunilha"
pt_622,"Novato Poção de Cura Inferior"
pt_623,NULL
pt_624,"Novato Poção de Velocidade"
pt_625,NULL
pt_626,"Pergaminho de Retorno - [Monumento de Edin]"
pt_627,"Contêiner de Justina"
pt_628,"Vinhas de Fogo"
pt_629,"Lâmina Partida"
pt_630,"Cristal de Alma de Zumbi"
pt_631,"Cristal de Alma do Olho Voador"
pt_632,"Sangue de Ghoul"
pt_633,"Pele de Lobo"
pt_634,"Cristal do Tempo"
pt_635,"Depósito de Armaduras da Leah"
pt_636,"Poção de Cura da Leah"
pt_637,"Couro de Caçador"
pt_638,"Livro de Encantos"
pt_639,Novato
pt_640,"Servente do Cavaleiro da Morte"
pt_641,"Pergaminho de Polimorfo (Novato)"
pt_642,"Escudo (Mágico)"
pt_643,"Raio de Energia"
pt_644,"Adaga de Gelo"
pt_645,"Cura Inferior"
pt_646,Teleporte
pt_647,Luz
pt_648,"Arma Sagrada"
pt_649,"Shuriken do Vento"
pt_650,"Presa Infernal"
pt_651,"Toque Frio"
pt_652,"Encantar Arma"
pt_653,"Maldição: Veneno"
pt_654,"Flecha de Fogo"
pt_655,Detecção
pt_656,"Poção de Cura"
pt_657,"Diminuir Peso"
pt_658,Curar
pt_659,"Nuvem de congelamento"
pt_660,Relâmpago
pt_661,"Revelar Fraqueza"
pt_662,"Transformar em Zumbi"
pt_663,"Armadura Abençoada"
pt_664,"Maldição: Cegueira"
pt_665,Meditação
pt_666,"Toque do Vampiro"
pt_667,"Quebra de Arma"
pt_668,"Prisão da Terra"
pt_669,"Bola de Fogo"
pt_670,Lento
pt_671,"Encanto Físico: DES"
pt_672,"Contra Magia"
pt_673,"Cone de Frio"
pt_674,"Maldição: Paralisia"
pt_675,"Invocar Relâmpago"
pt_676,"Retirar Maldição"
pt_677,"Domar Monstro"
pt_678,"Cura Superior"
pt_679,"Drenagem de Mana"
pt_680,Trevas
pt_681,Aceleração
pt_682,Erupção
pt_683,Fraqueza
pt_684,"Raio de Sol"
pt_685,"Abençoar Arma"
pt_686,"Criar Zumbi"
pt_687,"Encanto Físico: FOR"
pt_688,"Cancelar Magia"
pt_689,Congelar
pt_690,"Invocar Monstro"
pt_691,"Aceleração Superior"
pt_692,Berserk
pt_693,Doença
pt_694,"Caminhada Sagrada"
pt_695,"Promessa de Cura"
pt_696,Tornado
pt_697,"Mina Mágica"
pt_698,"Cura Total"
pt_699,Nevasca
pt_700,"Corrente da Vida"
pt_701,"Parede de Fogo"
pt_702,Ressurreição
pt_703,Invisibilidade
pt_704,Terremoto
pt_705,Silêncio
pt_706,"Contra Detecção"
pt_707,"Névoa do Sono"
pt_708,"Tempestade de Fogo"
pt_709,"Protetor de Proteção"
pt_710,"Poção de Deterioração"
pt_711,"Troca de Forma"
pt_712,"Teleporte em Massa"
pt_713,"Tempestade de Raios"
pt_714,"Campo de Força"
pt_715,"Visão Interna"
pt_716,"Estaca de Gelo"
pt_717,"Criar Arma Mágica"
pt_718,"Ataque de Meteoros"
pt_719,Destruir
pt_720,"Ressurreição Superior"
pt_721,"Barreira Absoluta"
pt_722,"Lentidão em Massa"
pt_723,"Avançar Espírito"
pt_724,"Alterar Posição"
pt_725,"Teleporte em Massa Encantado"
pt_726,"Paralisar Todos"
pt_727,"Piscina Refletiva"
pt_728,NULL
pt_729,NULL
pt_730,NULL
pt_731,NULL
pt_732,NULL
pt_733,NULL
pt_734,NULL
pt_735,NULL
pt_736,NULL
pt_737,NULL
pt_738,NULL
pt_739,NULL
pt_740,"Teleportar para Mãe"
pt_741,"Corpo para Mente"
pt_742,"Resistir a Magia"
pt_743,"Resistir a Elemental"
pt_744,"Mente Limpa"
pt_745,"Flecha Tripla"
pt_746,"Proteção do Elemental"
pt_747,Emaranhar
pt_748,"Pele da Terra"
pt_749,"Vida da Água"
pt_750,"Arma do Fogo"
pt_751,"Retorno à Natureza"
pt_752,"Caminhada do Vento"
pt_753,"Disparo do Vento"
pt_754,"Sangue para Alma"
pt_755,"Invocar Elemental Inferior"
pt_756,"Ligação à Terra"
pt_757,"Guardião da Terra"
pt_758,"Queda do Elemental"
pt_759,"Olho da Tempestade"
pt_760,"Proteção Aquática"
pt_761,"Labareda Dançarina"
pt_762,"Toque da Natureza"
pt_763,"Eliminar Magia"
pt_764,"Invocar Elemental Superior"
pt_765,"Área do Silêncio"
pt_766,"Fogo Elemental"
pt_767,"Caminhada da Tempestade"
pt_768,"Disparo da Tempestade"
pt_769,"Poluir Água"
pt_770,"Arma Flamejante"
pt_771,"Alma da Chama"
pt_772,"Milagre da Natureza"
pt_773,"Bênção da Natureza"
pt_774,"Ventania Arrasadora"
pt_775,"Fogo Adicional"
pt_776,"Pele de Ferro"
pt_777,"Contra Espelho"
pt_778,"Grilhões de Vento"
pt_779,"Vitalidade Exótica"
pt_780,"Carruagem Sólida"
pt_781,"Armadura de Redução"
pt_782,"Contra Barreira"
pt_783,"Choque Atordoante"
pt_784,"Ataque Ricochete"
pt_785,"Alvo Real"
pt_786,"Chamar Clã"
pt_787,"Aura Brilhante"
pt_788,"Aprender Clã"
pt_789,"Aura de Bravura"
pt_790,"Aura Iluminada"
pt_791,NULL
pt_792,"Elemento da Iluminação"
pt_793,"Elemento do Fogo"
pt_794,"Elemento da Água"
pt_795,"Elemento da Terra"
pt_796,"Elemento do Vento"
pt_797,"Bolinho de Lua de Pasta de Feijão"
pt_798,"Bolinho de Lua de Osmanthus"
pt_799,"Bolinho de Lua de Lótus"
pt_800,"Bolinho de Lua de Ovos Geminados"
pt_801,Lâmpada
pt_802,Lanternas
pt_803,Querosene
pt_804,"Lanternas Mágicas"
pt_805,Velas
pt_806,"Varinha de Conjurar Monstro"
pt_807,"Varinha de Pinho"
pt_808,"Varinha de Invocar Relâmpago"
pt_809,"Varinha de Ébano"
pt_810,"Varinha do Polimorfo"
pt_811,"Varinha de Bordo"
pt_812,"Varinha de Expulsar"
pt_813,"Poção de Afobação Maior"
pt_814,NULL
pt_815,"Poção de Cura Inferior Condensada"
pt_816,"Poção de Cura Condensada"
pt_817,"Poção de Cura Superior Condensada"
pt_818,"Poção Laranja Condensada"
pt_819,"Poção de Cura Superior Condensada"
pt_820,"Poção Branca Condensada"
pt_821,"Poção de Cura Inferior Antiga"
pt_822,NULL
pt_823,"Poção de Cura Antiga"
pt_824,NULL
pt_825,"Poção de Cura Superior Antiga"
pt_826,NULL
pt_827,"Poção da Cegueira"
pt_828,"Poção Negra"
pt_829,Elixir(FOR)
pt_830,Elixir(CON)
pt_831,Elisir(DES)
pt_832,Elixir(INT)
pt_833,Elixir(SAB)
pt_834,Elixir(CAR)
pt_835,Vinho
pt_836,Uísque
pt_837,"Poção de Raciocínio"
pt_838,Diamante
pt_839,Rubi
pt_840,Safira
pt_841,Esmeralda
pt_842,"Diamante de alta qualidade"
pt_843,"Rubi de alta qualidade"
pt_844,"Safira de alta qualidade"
pt_845,"Esmeralda de alta qualidade"
pt_846,"Diamante de altíssima qualidade"
pt_847,"Rubi de altíssima qualidade"
pt_848,"Safira de altíssima qualidade"
pt_849,"Esmeralda de altíssima qualidade"
pt_850,Carne
pt_851,"Carne do Olho Flutuante"
pt_852,Ovo
pt_853,Cenoura
pt_854,Limão
pt_855,Banana
pt_856,Maçã
pt_857,Laranja
pt_858,"Pergaminho de Encantamento de Armadura"
pt_859,"Pergaminho de Destruição de Armadura"
pt_860,"Pergaminho de Fuga"
pt_861,"Pergaminho de Teleporte em Massa"
pt_862,"Pergaminho de Encantamento de Arma"
pt_863,"Pergaminho de Polimorfo"
pt_864,"Pergaminho de Ressurreição"
pt_865,"Novato Pergaminho de Fuga"
pt_866,"Novato Pergaminho de Retirada de Maldição"
pt_867,"Novato Pergaminho de Identificação"
pt_868,"Novato Pergaminho de Teleporte"
pt_869,"Pergaminho de Teleporte"
pt_870,"Pergaminho de Retirada de Maldição"
pt_871,"Pergaminho de Identificação"
pt_872,"Coração de Golem"
pt_873,"Chave dourada"
pt_874,"Coração de Dragão"
pt_875,Platina
pt_876,"Chave do Quarto da Estalagem"
pt_877,"Chave de prata"
pt_878,"Coleira de Filhote"
pt_879,"Pedra de Amolar"
pt_880,"Gema Mágica"
pt_881,"Gema do Espírito"
pt_882,"Escama do Scatha"
pt_883,"Garra do Scatha"
pt_884,"Olho do Scatha"
pt_885,"Sangue do Scatha"
pt_886,"Carne do Scatha"
pt_887,"Coração do Scatha"
pt_888,"Osso do Scatha"
pt_889,"Dente do Scatha"
pt_890,"Escama do Dragão do Fogo"
pt_891,"Escama do Dragão do Vento"
pt_892,"Escama do Dragão da Água"
pt_893,"Escama do Dragão da Terra"
pt_894,Couro
pt_895,"Couro Duro"
pt_896,"Monte de Ferro"
pt_897,"Teia de Lolth"
pt_898,"Pele de Lobo"
pt_899,"Armadura de Platina"
pt_900,Platina
pt_901,"Pedaço de Platina Bruto"
pt_902,"Suco de Lodo"
pt_903,"Mithril Negro"
pt_904,"Monte de Mithril Negro Bruto"
pt_905,"Placa de Mithril Negro"
pt_906,"Tecido azul"
pt_907,"Tecido vermelho"
pt_908,"Tecido branco"
pt_909,Escama
pt_910,"Carapaça de Escorpião"
pt_911,"Monte de Prata"
pt_912,"Pedaço de Prata Bruto"
pt_913,"Placa de Prata"
pt_914,"Pedaço de Alma"
pt_915,"Fragmento de Espírito"
pt_916,"Pelo do Cérbero"
pt_917,"Placa de Ouro"
pt_918,"Monte de Ouro"
pt_919,"Pedaço de Ouro Bruto"
pt_920,"Pena de Grifo"
pt_921,"Fio de Mithril"
pt_922,"Monte de Mithril"
pt_923,"Placa de Mithril"
pt_924,Fio
pt_925,Oricalco
pt_926,"Armadura de Oricalco"
pt_927,"Sangue de Ogro"
pt_928,"Elementos de Pedra"
pt_929,"Pó de Fada"
pt_930,"Asa de Fada"
pt_931,"Armadura Fina"
pt_932,"Chaves negras"
pt_933,"Cave vermelha"
pt_934,"Flecha Antiga"
pt_935,Flecha
pt_936,"Flecha de Prata"
pt_937,"Flecha Dourada"
pt_938,"Flecha de Mithril"
pt_939,"Flecha de Mithril Negro"
pt_940,"Flecha de Oricalco"
pt_941,"Bloco de Aço"
pt_942,"Monte de Ferro Bruto"
pt_943,Pedras
pt_944,Solvente
pt_945,Farinha
pt_946,Tomate
pt_947,"Água Benta"
pt_948,"Pergaminho de Encantamento de Arma: Fogo"
pt_949,"Pergaminho de Encantamento de Arma: Terra"
pt_950,"Pergaminho de Encantamento de Arma: Água"
pt_951,"Pergaminho de Encantamento de Arma: Vento"
pt_952,"Poção de Renascimento"
pt_953,Carta
pt_954,"Pergaminho de Encantamento de Acessório"
