id,dirs,langIndex,mode
382,13.2.10,1874,0
383,13.2.11,1875,0
384,13.2.12,1876,0
385,13.2.13,1877,0
386,13.2.14,1878,0
387,13.2.15,1879,0
388,13.2.16,1880,0
389,13.2.17,1881,0
390,13.2.18,1882,0
391,13.2.19,1883,0
392,13.2.20,1884,0
393,13.3.0,1741,0
394,14.0.0,2504,0
395,14.1.0,2505,0
396,14.2.0,2506,0
397,14.3.0,2507,0
398,14.4.0,2508,0
399,14.5.0,1741,0
400,15.0.0,2564,0
401,15.1.0,2610,0
402,15.2.0,2611,0
403,15.3.0,2612,0
404,15.4.0,1680,0
405,16.0.0,1065,0
406,16.1.0,1066,0
407,16.2.0,1067,0
408,16.3.0,1926,0
409,17.0.0,626,0
410,17.1.0,1068,0
411,17.2.0,1069,0
412,17.3.0,1070,0
413,17.4.0,1071,0
414,18.0.0,1072,0
415,18.1.0,1072,0
416,18.2.0,1073,0
417,18.2.1,1074,0
418,18.2.2,1075,0
419,18.2.3,1076,0
420,18.2.4,1077,0
421,19.0.0,507,0
