fr_0,"Client : %s Ressource : %u"
fr_290,"\f2Opération invalide, choisissez une arme adaptée"
fr_291,"\f2Opération invalide, choisissez une armure adaptée"
fr_292,"\f2Opération invalide, choisissez un accessoire adapté"
fr_293,"\fKOK"
fr_294,"\fKMAX"
fr_295,"\f2Mots invalides"
fr_296,"\f2Le texte dépasse la limite, veuillez entrer de nouveau."
fr_297,"Ver. client : %u (%s) Ver. ressource : %u Ver. client : %u"
fr_298,"Commande invalide"
fr_299,"\f3Erreur|"
fr_300,"\f>Interne|"
fr_301,"\fFMonde|"
fr_302,"\fCClan|"
fr_303,"\fUÉquipe|"
fr_304,"\faÉchange|"
fr_305,"\f<Union|"
fr_306,"\fHCri|"
fr_307,"\fKDiscussion|"
fr_308,"\fPMessage privé|"
fr_309,"\fKFOR"
fr_310,"\fKCON"
fr_311,"\fKDEX"
fr_312,"\fKSAG"
fr_313,"\fKINT"
fr_314,"\fKCHA"
fr_315,"\fKPoint de repos"
fr_316,"\fKTerminer"
fr_317,"\fKAnnuler"
fr_318,COMPÉTENCE
fr_319,"\fKCommun"
fr_320,"\fQCommun"
fr_321,"\fKClasse"
fr_322,"\fQClasse"
fr_323,"\f7Distance : %u"
fr_324,"\f7Distance : plein écran"
fr_325,"\fPConsommation PM : %u"
fr_326,"\fHConsommation d'objets : %s"
fr_327,"\fHConsommation d'objets : nulle"
fr_328,"\fKUTILISER"
fr_329,SOC
fr_330,"\fQAmi"
fr_331,"\fQÉquipe"
fr_332,"\fQClan"
fr_333,"\fQMail"
fr_334,"\fQBloqué"
fr_335,"\fKOK"
fr_336,"\fKAnnuler"
fr_337,Entrepôt
fr_338,Stockage :
fr_339,Inventaire :
fr_340,"\fKMagasin"
fr_341,"\fKTirer"
fr_342,Oui
fr_343,Non
fr_344,Bande-son :
fr_345,"Effets sonores :"
fr_346,"\fKClan :"
fr_347,"\fKClasse :"
fr_348,"\fKPV :"
fr_349,"\fKPM :"
fr_350,"\fKNiveau :"
fr_351,"\fKAC :"
fr_352,"\fKFOR :"
fr_353,"\fKDEX :"
fr_354,"\fKCON :"
fr_355,"\fKSAG :"
fr_356,"\fKCHA :"
fr_357,"\fKINT :"
fr_358,"\f>Commencer"
fr_359,"\fKRoyal"
fr_360,"\fKChevalier"
fr_361,"\fKMage"
fr_362,"\fKElfe"
fr_363,"\f>Sélection de classe"
fr_364,"\f>Retour"
fr_365,"\f>Créer"
fr_366,"\fKEntrer le nom du personnage"
fr_367,"\f>Manuel"
fr_368,"\fKRestant(s)"
fr_369,"\f>Annuler"
fr_370,"\f>Terminé"
fr_371,"La longueur du mot est limitée (1-%d caractères)"
fr_372,"\f7Créer le personnage"
fr_373,"\f:Royal"
fr_374,"\f:Chevalier"
fr_375,"\f:Mage"
fr_376,"\f:Elfe"
fr_377,"\f>Auto"
fr_378,"\f>Auto"
fr_379,"\f>Auto"
fr_380,"\f>Auto"
fr_381,"\f>Auto"
fr_382,"\f>Auto"
fr_383,"\f>Auto"
fr_384,"\f>Auto"
fr_385,"　　         　     Dotés de l'honneur et du courage de leur noble lignée, ce sont des chefs de clan et des guerriers nés. Ils peuvent équiper la plupart des armes et des armures."
fr_386,"　　　Mus par la volonté du peuple, les guerriers, courageux et puissants, ont juré de triompher du mal et de défendre les innocents."
fr_387,"　　　     Ils maîtrisent les arts anciens, qui leurs permettent de frapper l'ennemi avec des sorts mortels !"
fr_388,"　      Les elfes font tout leur possible pour rendre paix et liberté à tous les territoires. Ce sont des guerriers équilibrés, capables d'utiliser plusieurs types d'armes et de sortilèges."
fr_389,"CON : contrôle la quantité de PV que vous gagnez lorsque vous montez de niveau et la vitesse de récupération des PV/PM.\nFOR : affecte les dégâts au combat et votre capacité de porter des objets.\nSAG : affecte votre résistance innée à la magie et la quantité de PM que vous gagnez lorsque vous montez de niveau.\nINT : détermine votre puissance de sort, qui affecte l'efficacité de vos sorts.\nDEX : détermine la précision de votre attaque, surtout celle des armes à lancer, telles que les arcs.\nCHA : affecte le nombre de chiens ou de mobs domptés que vous pouvez posséder en même temps. C'est également important pour les princes."
fr_390,"Voulez-vous supprimer le personnage sélectionné « %s » ?"
fr_391,"\f=[NORMAL]"
fr_392,"\f2[SÉCURISÉ]"
fr_393,"\f3[PK]"
fr_394,"\f6!!!Région invalide!!!"
fr_395,"Chaîne récente : \fW%s"
fr_396,"Aucune cible sélectionnée, action annulée"
fr_397,"Vision d'elfe :"
fr_398,Exclure
fr_399,"Ajouter un ami"
fr_400,"\fKAIA"
fr_401,AC:%d
fr_402,"\fKEntrer le nom du favori :"
fr_403,"Entrer la quantité d'objets :"
fr_404,"Entrer la quantité :"
fr_405,"\f3Vous revenez à un état normal."
fr_406,"Vous vous sentez vif d'excitation."
fr_407,"Vous vous sentez connecté aux esprits des gens et de la forêt. "
fr_408,"Vous vous sentez vif d'excitation."
fr_409,"Seuls ceux en dessous de %u peuvent utiliser cet objet."
fr_410,"\fGVous êtes paralysé. Impossible de bouger."
fr_411,"\fGVous êtes pétrifié. Impossible de bouger."
fr_412,"\fGHypnotisé"
fr_413,"\faGelé"
fr_414,"\faDans le coma"
fr_415,"\faPiégé"
fr_416,"\fGRécupérer de la restriction"
fr_417,"de "
fr_418,"Emplacement : (%u,%u)"
fr_419,"Démarrage du serveur : %02d-%02d-%02d %02d:%02d:%02d"
fr_420,"Texture : Nombre=%u Chargé(es)=%u (%uKB) Max=%uKB,"
fr_421,n/a
fr_422,"\f3Quoi !"
fr_423,"Erreur : fichier introuvable"
fr_424,"\fPQuantité : %u"
fr_425,"\fKVeuillez introduire du texte :"
fr_426,"\fKVeuillez entrer le titre :"
fr_427,Retour
fr_428,"Annonce du serveur"
fr_429,"\f3Description introuvable !!"
fr_430,"Rejoindre le clan"
fr_431,Quitter
fr_432,"\f2Votre sagesse grandit."
fr_433,"Veuillez entrer le nom du clan :"
fr_434,"%s\f3Cooldown : %.1f s.\n"
fr_435,"%s\f=Lot : [%s]\n"
fr_436,"Le texte saisi ne peut pas être vide"
fr_437,"Veuillez entrer un format d'e-mail valide"
fr_438,"Veuillez parler plus lentement"
fr_439,"Google Play :"
fr_440,Déconnexion
fr_441,"\fKRéaliser"
fr_442,"Maintenance du serveur"
fr_443,"Message répété"
fr_444,"Échec du lancement (%d) : ROOT détecté"
fr_445,"Échec du lancement (%d) : simulateur détecté"
fr_446,"Échec du lancement (%d) : application suspecte détectée : %s "
fr_447,"Échec du lancement (%d) : impossible de lire les données du jeu"
fr_448,"\fKTerminé"
fr_449,Bloquer/Débloquer
fr_450,"\f9Jeter"
fr_451,"Confirmer l'abandon de l'objet"
fr_452,"Confirmer l'abandon de « %s » ?"
fr_453,"Hack détecté. Simulateur/Outils d'automatisation"
fr_454,"\f=Fin du paiement : %s \n"
fr_455,"\fKDébut du jeu"
fr_456,"\fKRécupération du compte"
fr_457,"\f9SUC."
fr_458,"Le serveur est rempli pour le moment. La position dans la file : %d"
fr_459,"Impossible de lire les infos de description, veuillez réessayer"
fr_460,"Veuillez patienter jusqu'à l'apparition de la fenêtre d'abonnement\nVeuillez appuyer sur OK pour redémarrer après la fin du processus d'abonnement"
fr_461,"Votre abonnement va bientôt expirer, se réabonner maintenant ? (Période de grâce : %d sec)"
fr_462,Abonnement
fr_463,"Vous être authentifié comme invité, les données ne seront pas conservées après la désinstallation de Teon"
fr_464,"Liaison du compte"
fr_465,"Impossible de lier les informations du compte, veuillez vérifier l'état de l'authentification"
fr_466,"Teon sera relancé après que le compte a été lié"
fr_467,"Impossible de lier les informations du compte, le compte est déjà utilisé"
fr_468,"Connexion au serveur de compte…"
fr_469,"Niv. %d"
fr_470,"Voulez-vous arrêter la suppression du personnage sélectionné « %s » ?"
fr_471,(Suppr)
fr_472,"\fKCe personnage sera supprimé à"
fr_473,"\f=Appuyez de nouveau sur le bouton Supprimer pour annuler"
fr_474,"Le compte n'existe pas"
fr_475,"La récupération ne peut être utilisée qu'avec les comptes liés. Pour les autres utilisateurs, veuillez plutôt appuyer sur « Début du jeu »\n"
fr_476,　Récupérer　|　Annuler　
fr_477,"\fKActualiser"
fr_478,Rang
fr_479,Classe/Niv.
fr_480,LDR
fr_481,GUR
fr_482,ELT
fr_483,APP
fr_484,"Voulez-vous vraiment quitter le clan ?"
fr_485,"Entrer le nouveau titre :"
fr_486,"Entrer le nouveau rang :"
fr_487,　GUR　|　ELT　|　TRN　
fr_488,"Le leader du clan a lancé le renvoi de ce clan, un renvoi effectif à %s"
fr_489,"Mod. titre"
fr_490,"Mod. rang"
fr_491,Renvoyer
fr_492,"Annuler le renvoi"
fr_493,"\f=Avis du clan :"
fr_494,"Voulez-vous vraiment annuler le renvoi du clan ?"
fr_495,"Voulez-vous vraiment exclure le joueur « %s » ?"
fr_496,"Entrer un nouvel avis du clan :"
fr_497,Exclure
fr_498,"Licence de logiciel"
fr_499,"\f>Welcome to the world of Teon. To provide you with a stable and fair gaming environment, we (Lakoo Games) ask that you take the time to read through and follow the player code of conduct. By creating a character and entering Teon, you accept all the terms and conditions below. Questions or concerns regarding the player code of conduct can be directed to cs@lakoo.com.\n\n\f=[Account Security]\n\n\f>1. Players use Google accounts to log on to Teon. Our server cannot distinguish if a verified Google account is logged in by its rightful owner or another person.\n2. We strongly recommend players to enhance the security measures to protect the Google accounts used for playing Teon. Players can visit our official website (teon.lakoo.com) and read through the Google Account Security Instruction page for more detailed information.\n3. We strongly recommend players to activate the two-step verification feature.\n4. Each purchased downloading of Teon client can only be used for one Google account.\n\n\f=[Character Names]\n\n\f>Your character name might just be a handle at the beginning. As you explore into the game, however, it will play an increasingly important role. It will represent your characteristics, reputation, and ability. Please make sure to value this right of yours\nand give your characters beautiful names.\nYou can select your character and clan names freely. To secure and maintain the gaming environment, however, you may not use any names (non-exhaustive):\nThat incorporates 'swear' words or which are otherwise offensive, defamatory, vulgar, obscene, hateful, or racially, ethnically or otherwise objectionable;\nRelated to drugs, sex, alcohol, or criminal activity;\nThat fall into any other special category (e.g. Belonging to another person with the intent to impersonate that person, including without limitation a ""Game Master"" or any other employee or agent of Lakoo Games). Such behaviors could and will lead to a suspension of your account.\n\n\f=[Selling of Items]\n\n\f>1. We will not take initiative to interfere the trade of items or gold that are generated from proper channels, in the game or in the ""real world"".\n2. We do not recommend players to purchase or sell items or gold for ""real"" money.\n3. Should a player insist on trading outside the game, he or she must bear all risks of loss or damage caused. We will not participate or settle any disputes caused by trades outside the game.\n4. If any trades are associated with using or exploiting errors in design and/or ""program bugs"", we will backtrack the trades and fix the abnormal output.\n5. We do not provide any forms of account history inquiry services. Should a player need to take legal action and thus request for the relevant records to present as evidence,\nplease contact us with the email address corresponding to the in-game character and provide us the legal documents and a colored copy of your personal ID.\n\n\f=[Game Masters (GM)]\n\n\f>1. In-game GM list: TeonGM01 - TeonGM09; GM01 - GM99; Judgment Scythe.\nAny of those who declare themselves as GM but not included in the list above are impostors. Please report them to us ASAP.\n2. The name of a GM is always displayed in special yellow or black color.\n3. GMs will not ask for your account information in the game, forums or by any other means. Please beware of scam/fraud.\n4. GMs or Lakoo employees will not sell good or items to players inside or outside the game. Any of those who are trying to sell gold or items in the name of GMs are most likely scammers. Please report them to us ASAP.\n\n\f=[PvP Rules]\n\n\f>In the world of Teon, eliminating opponents (taking out hostile players or being taken out by other players) is considered a part of the game content instead of harassment.\nWhile playing the game, a player has to activate the PvP mode to attack another player. When a player takes out another, it leaves a system record which modifies the attacker's lawful value. Meanwhile, there are sanctuaries in the game where PvP activities are forbidden.\nWe do not judge how do players behave in PvP activities. If, however, such activities have severely affected your normal gaming experience,\nyou may contact a GM and we will handle accordingly as the case might be.\n\n\f=[Prohibited behaviors while playing Teon]\n\n\f>Prohibited behaviors related to ""Chat Channels""\n1. Posting and spreading information on trading virtual items outside game or with real ""money"".\n2. Repeatedly posting similar messages that disrupt the normal flow of dialogue in Chat or otherwise act in a manner that negatively affects other users.\n3. Including without limitation: Words that are offensive, defamatory, vulgar, obscene, hateful, or racially, ethnically or otherwise objectionable; or related to drugs, sex, alcohol, or criminal activity;\n4. Exploiting font colors to mislead other players. For example: Pretend to send system message about the monsters that will drop certain loot.\n5. Pass yourself off as an official employee; spreading rumors and/or trying to harm the gaming environment.\n6. Posting messages that are irrelevant to Teon that disrupt the normal flow of dialogue in Chat or otherwise act in a manner that negatively affects other users.\n\nOther prohibited behaviors\n1. Pass yourself off as a GM to conduct scam/fraud by spreading rumors.\n2. Spreading info on any non-official Teon clients, third-party program, and/or other exploits.\n3. Cheat or utilize Teon ""exploits"" in any way to obtain a competitive advantage over other players.\n4. Using any non-official client/program to cheat, including without limitation: Auto-combat, auto-leveling, auto-potion, auto-questing, game accelerating, or/and any other behaviors that are not intended by the initial design.\nLakoo Games may, in its sole and absolute discretion, take whatever action it deems necessary to preserve the integrity of Teon. Violation of any of the Rules of Conduct set forth above may result in actions being taken by Lakoo Games, effective immediately or at a time determined by Lakoo Games, which may include without limitation:\n\f3 Forced disconnection from the game server\nTemporarily suspending your access to Teon,\nChange of character names,\nRetrieving items and currencies,\nPermanently suspending your access to Teon.\n\n\f=[Requests that will not be accepted by Teon team]\n\n\f>1. Recovery of any loss or damage caused by the player's own carelessness. For example: Normally conducted in-game trades, in which the player didn't inspect the items carefully.\n2. Recovery of any loss or damage caused by offline trades.\n3. Unreasonable requests on cancellation of a suspension issued for the violation of the code of conduct.\nPlayers may inquire about the reason of suspension and cooperate with our employees to apply for a re-evaluation.\n4. Recovery any loss or damage caused by normal gameplay. For example: Gear enhancement failure, items and experience points lost upon death.\n5. Recovery any loss or damage caused by carelessly believing in rumors and other false information. Please take our official website as the only reliable source of information.\n6. Any false information that is forged to deceive the official staff.\n\n\f=[Important Information]\n\n\f>Lakoo Games reserves the right to modify the player code of conduct based on the development and demands of Teon. Should the code of conduct be modified, we will publish the modification on Teon's official website and players will not receive a notification individually. Please pay attention to the announcements on our official website.\nThis code of conduct comes into effect on November 10th, 2016."
fr_500,Sélectionner
fr_501,"Boss : %s spawn (%s) [ %s]"
fr_502,"Le reçu d'achat a déjà été utilisé, appuyez sur OK pour plus de détails,"
fr_503,Signaler
fr_504,"Personnage cible"
fr_505,"Type de signalisation"
fr_506,Bot
fr_507,Autres
fr_508,"Supplément : (100 caractères)"
fr_509,"Question de Loki"
fr_510,"A | B | C | D "
fr_511,"Je comprends et j'accepte"
fr_512,"Compte local"
fr_513,"\n(Numéro de référence : %s),"
fr_514,"La validation de l'abonnement a échoué en raison d'une erreur inconnue"
fr_515,"Erreur de validation du compte d'abonnement"
fr_516,"La vérification du compte d'abonnement est invalide"
fr_517,"Les comptes d'abonnement et de jeu ne correspondent pas"
fr_518,"Les comptes d'abonnement et de jeu ne correspondent pas"
fr_519,"Le compte d'abonnement est déjà connecté à un autre compte de jeu"
fr_520,"%s\f=Niveau minimum : %d\n"
fr_521,"%s\f=Niveau maximum : %d\n"
fr_522,"%s\f=Emplacement de l'utilisation : %s (%u,%u)\n"
fr_523,"Le compte est suspendu jusqu'au %s."
fr_524,"Le compte est suspendu définitivement"
fr_525,"(Raisons : %s)\nVeuillez contacter cs@lakoo.com\nVeuillez fournir vos informations détaillées de compte, objet : Teon-Account Issue"
fr_526,"Confirmer pour abandonner l'objet"
fr_527,"Voulez-vous vraiment abandonner « %s » ?"
fr_528,"Contacter l'assistance"
fr_529,"Questions fréquemment posées"
fr_530,FAQ
fr_531,"Select a feedback category"
fr_532,"Description of the problem"
fr_533,"Official website: teon.lakoo.com"
fr_534,"Contact: cs@lakoo.com"
fr_535,"Please select a category of your feedback"
fr_536,Submit
fr_537,"The content is %d longer than the character limit."
fr_538,"Vous jouez en tant qu'invité. Veuillez créer un compte avant d'envoyer votre problème."
fr_539,"Thanks! We’ll reply ASAP. (Custom service only in English and Chinese)"
fr_540,ID
fr_541,"Character name"
fr_542,"Character level"
fr_543,"Character class"
fr_544,"Client Version"
fr_545,ACC:
fr_546,CHAR:
fr_547,Keyword:
fr_548,Notice:
fr_549,DESC:
fr_550,"Enter your account that your character is bound to"
fr_551,"Enter your character name in the game here"
fr_552,"Keywords of your feedback"
fr_553,"The prompt system error message"
fr_554,"Describe the time when the issue occurred, how did it happen and your expected solutions"
fr_555,Bug
fr_556,Charge
fr_557,Problem
fr_558,Advice
fr_559,"Character problem"
fr_560,"Can't log in"
fr_561,"\fP Coût en PV : %u"
fr_562,"Ré. touches"
fr_563,"À gauche"
fr_564,"À droite"
fr_565,"Teon requiert l'autorisation d'accéder au compte et aux ressources du jeu"
fr_566,Messages
fr_567,Annonces
fr_568,"Mises à jour"
fr_569,"Sélectionnez pour voir"
fr_570,Contenu
fr_571,"Sélectionnez l'annonce sur la gauche pour voir"
fr_572,"La cible que vous recherchez n'est pas dans la région actuelle"
fr_573,Version
fr_574,"\fKTEMP."
fr_575,"\fQTEMP."
fr_576,"Vous êtes attaqué par \f3%s\f=."
fr_577,ATQANT:
fr_578,Gérer
fr_579,Paramètres
fr_580,"Code d'échange"
fr_581,"Entrer le code d'échange"
fr_582,Confirmer
fr_583,Rejouer
fr_584,"Règle du code d'échange :"
fr_585,"Sélectionner un serveur"
fr_586,Serveur
